2026-03-03 17:19:50,286 [INFO] STARTING ABLATION: LAYER 1 ONLY | Window: 2023-01-24 -> 2026-03-03
2026-03-03 17:20:02,163 [INFO] [RiskManager] Daily state reset for 2026-03-03
2026-03-03 17:20:02,165 [INFO] [RiskManager] Singleton initialized.
2026-03-03 17:20:02,988 [INFO] [BCD global] Trained on 401 candles. Found 8 changepoints.
2026-03-03 17:21:02,517 [INFO]   ▶ [2023-04-17] Equity: $10,493 | PnL: $+493
2026-03-03 17:22:03,086 [INFO]   ▶ [2023-06-07] Equity: $8,801 | PnL: $-1199
2026-03-03 17:23:03,252 [INFO]   ▶ [2023-08-01] Equity: $10,573 | PnL: $+573
2026-03-03 17:24:03,841 [INFO]   ▶ [2023-08-08] Equity: $9,951 | PnL: $-49
2026-03-03 17:25:04,818 [INFO]   ▶ [2023-09-27] Equity: $8,952 | PnL: $-1048
2026-03-03 17:26:05,613 [INFO]   ▶ [2023-11-03] Equity: $9,364 | PnL: $-636
2026-03-03 17:27:06,427 [INFO]   ▶ [2024-02-08] Equity: $12,465 | PnL: $+2465
2026-03-03 17:28:07,036 [INFO]   ▶ [2024-04-13] Equity: $17,795 | PnL: $+7795
2026-03-03 17:29:08,094 [INFO]   ▶ [2024-05-23] Equity: $17,196 | PnL: $+7196
2026-03-03 17:30:08,886 [INFO]   ▶ [2024-07-01] Equity: $18,157 | PnL: $+8157
2026-03-03 17:31:09,085 [INFO]   ▶ [2024-08-16] Equity: $23,357 | PnL: $+13357
2026-03-03 17:32:09,161 [INFO]   ▶ [2024-10-10] Equity: $23,869 | PnL: $+13869
2026-03-03 17:33:11,954 [INFO]   ▶ [2024-11-26] Equity: $32,931 | PnL: $+22931
2026-03-03 17:34:12,545 [INFO]   ▶ [2025-01-17] Equity: $25,476 | PnL: $+15476
2026-03-03 17:35:13,095 [INFO]   ▶ [2025-03-02] Equity: $26,858 | PnL: $+16858
2026-03-03 17:36:13,450 [INFO]   ▶ [2025-04-22] Equity: $23,024 | PnL: $+13024
2026-03-03 17:37:13,896 [INFO]   ▶ [2025-06-13] Equity: $27,107 | PnL: $+17107
2026-03-03 17:38:15,283 [INFO]   ▶ [2025-09-17] Equity: $28,134 | PnL: $+18134
2026-03-03 17:39:16,440 [INFO]   ▶ [2025-11-12] Equity: $31,957 | PnL: $+21957
2026-03-03 17:40:16,546 [INFO]   ▶ [2025-12-26] Equity: $30,832 | PnL: $+20832
2026-03-03 17:41:16,582 [INFO]   ▶ [2026-01-29] Equity: $34,162 | PnL: $+24162
2026-03-03 17:41:43,821 [INFO] COMPLETED. Final Equity: $37,211.13
