entry_time,exit_time,side,pnl_usd,equity,exit_type,regime
2023-01-24T00:00:00+00:00,2023-01-25T00:00:00+00:00,LONG,-200.16,9799.84,SL,bull
2023-01-25T20:00:00+00:00,2023-02-02T00:00:00+00:00,LONG,293.84,10093.68,TP,bull
2023-02-01T20:00:00+00:00,2023-02-05T12:00:00+00:00,LONG,-202.04,9891.64,SL,bull
2023-02-05T08:00:00+00:00,2023-02-06T04:00:00+00:00,SHORT,296.59,10188.23,TP,bear
2023-02-06T00:00:00+00:00,2023-02-08T00:00:00+00:00,SHORT,-203.93,9984.31,SL,bear
2023-02-07T20:00:00+00:00,2023-02-08T16:00:00+00:00,LONG,-199.85,9784.46,SL,bull
2023-02-09T00:00:00+00:00,2023-02-10T04:00:00+00:00,SHORT,293.38,10077.84,TP,bear
2023-02-10T00:00:00+00:00,2023-02-15T08:00:00+00:00,SHORT,-201.72,9876.12,SL,bear
2023-02-15T04:00:00+00:00,2023-02-15T12:00:00+00:00,SHORT,-197.68,9678.44,SL,bear
2023-02-15T08:00:00+00:00,2023-02-15T16:00:00+00:00,SHORT,-193.72,9484.72,SL,bear
2023-02-15T12:00:00+00:00,2023-02-15T20:00:00+00:00,SHORT,-189.85,9294.87,SL,bear
2023-02-15T20:00:00+00:00,2023-02-16T20:00:00+00:00,LONG,-186.05,9108.82,SL,bull
2023-02-16T16:00:00+00:00,2023-02-17T00:00:00+00:00,LONG,-182.32,8926.5,SL,bull
2023-02-16T20:00:00+00:00,2023-02-17T16:00:00+00:00,SHORT,-178.67,8747.83,SL,bear
2023-02-17T12:00:00+00:00,2023-02-19T16:00:00+00:00,SHORT,-175.1,8572.73,SL,bear
2023-02-19T12:00:00+00:00,2023-02-20T00:00:00+00:00,LONG,-171.59,8401.14,SL,bull
2023-02-19T20:00:00+00:00,2023-02-20T12:00:00+00:00,SHORT,-168.16,8232.98,SL,bear
2023-02-20T08:00:00+00:00,2023-02-22T00:00:00+00:00,LONG,-164.79,8068.19,SL,bull
