i,datetime,label,pred,actual,correct,conf
200,2025-02-03 08:00:00+00:00,Bearish Trend,DOWN,UP,False,0.9811320754716981
208,2025-02-04 16:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9811320754716981
216,2025-02-06 00:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9811320754716981
224,2025-02-07 08:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9811320754716981
232,2025-02-08 16:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9811320754716981
240,2025-02-10 00:00:00+00:00,Low Volatility Sideways,NEUTRAL,UP,,0.9811320754716981
248,2025-02-11 08:00:00+00:00,Low Volatility Sideways,NEUTRAL,DOWN,,0.9811320754716981
256,2025-02-12 16:00:00+00:00,Low Volatility Sideways,NEUTRAL,DOWN,,0.9811320754716981
264,2025-02-14 00:00:00+00:00,Low Volatility Sideways,NEUTRAL,UP,,0.9811320754716981
272,2025-02-15 08:00:00+00:00,Low Volatility Sideways,NEUTRAL,DOWN,,0.9811320754716981
280,2025-02-16 16:00:00+00:00,Low Volatility Sideways,NEUTRAL,DOWN,,0.9811320754716981
288,2025-02-18 00:00:00+00:00,Low Volatility Sideways,NEUTRAL,DOWN,,0.9811320754716981
296,2025-02-19 08:00:00+00:00,Bearish Trend,DOWN,UP,False,0.9821428571428571
304,2025-02-20 16:00:00+00:00,Bearish Trend,DOWN,UP,False,0.9821428571428571
312,2025-02-22 00:00:00+00:00,Bearish Trend,DOWN,UP,False,0.9821428571428571
320,2025-02-23 08:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9821428571428571
328,2025-02-24 16:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9821428571428571
336,2025-02-26 00:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9821428571428571
344,2025-02-27 08:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9821428571428571
352,2025-02-28 16:00:00+00:00,Bullish Trend,UP,UP,True,0.9375
360,2025-03-02 00:00:00+00:00,Bullish Trend,UP,UP,True,0.9375
368,2025-03-03 08:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9166666666666666
376,2025-03-04 16:00:00+00:00,Bullish Trend,UP,UP,True,0.5
384,2025-03-06 00:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9824561403508771
392,2025-03-07 08:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9824561403508771
400,2025-03-08 16:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9824561403508771
408,2025-03-10 00:00:00+00:00,Bearish Trend,DOWN,DOWN,True,0.9824561403508771
416,2025-03-11 08:00:00+00:00,Bearish Trend,DOWN,UP,False,0.9824561403508771
424,2025-03-12 16:00:00+00:00,Bearish Trend,DOWN,UP,False,0.9824561403508771
432,2025-03-14 00:00:00+00:00,Bearish Trend,DOWN,UP,False,0.9824561403508771
440,2025-03-15 08:00:00+00:00,Bullish Trend,UP,UP,True,0.9824561403508771
448,2025-03-16 16:00:00+00:00,Bullish Trend,UP,UP,True,0.9824561403508771
456,2025-03-18 00:00:00+00:00,Bullish Trend,UP,DOWN,False,0.9824561403508771
464,2025-03-19 08:00:00+00:00,Bullish Trend,UP,UP,True,0.9824561403508771
472,2025-03-20 16:00:00+00:00,Bullish Trend,UP,DOWN,False,0.9824561403508771
480,2025-03-22 00:00:00+00:00,Bullish Trend,UP,DOWN,False,0.9824561403508771
