window,variation,trades,wins,wr_pct,total_pnl,daily_pct,max_dd,pf,dd_return_ratio,total_signals,skipped,filter_rate_pct,elapsed,sl_tp
2023 Full,V0,245,164,66.9,178.23,0.488,-22.75,2.14,-46.6,374,129,34.5,29.7,SL=1.5×/TP=1.8×
2023 Full,V1,201,134,66.7,147.61,0.404,-12.06,2.12,-29.8,477,276,57.9,28.8,SL=1.5×/TP=1.8×
2023 Full,V2,155,101,65.2,96.33,0.264,-22.29,1.84,-84.5,709,554,78.1,457.4,SL=1.5×/TP=1.8×
2023 Full,V3,172,115,66.9,122.0,0.334,-25.15,2.06,-75.2,563,391,69.4,57.6,SL=1.5×/TP=1.8×
2023 Full,V4,126,86,68.3,89.0,0.244,-12.29,2.16,-50.4,810,684,84.4,6458.1,SL=1.5×/TP=1.8×
2024 H2,V0,129,86,66.7,145.49,0.791,-11.76,2.55,-14.9,319,190,59.6,6.0,SL=1.5×/TP=2.0×
2024 H2,V1,128,84,65.6,136.4,0.741,-11.76,2.31,-15.9,333,205,61.6,7.1,SL=1.5×/TP=2.0×
2024 H2,V2,116,74,63.8,112.4,0.611,-11.71,2.21,-19.2,432,316,73.1,19.6,SL=1.5×/TP=2.0×
2024 H2,V3,117,79,67.5,138.12,0.751,-11.83,2.62,-15.8,381,264,69.3,29.8,SL=1.5×/TP=2.0×
2024 H2,V4,68,44,64.7,67.67,0.368,-12.84,2.34,-34.9,555,487,87.7,65.2,SL=1.5×/TP=2.0×
2025-2026,V0,349,232,66.5,255.02,0.579,-15.97,2.19,-27.6,709,360,50.8,68.5,SL=1.5×/TP=1.8×
2025-2026,V1,339,225,66.4,255.48,0.58,-15.97,2.12,-27.5,749,410,54.7,47.5,SL=1.5×/TP=1.8×
2025-2026,V2,284,189,66.5,231.95,0.527,-11.1,2.3,-21.1,894,610,68.2,113.2,SL=1.5×/TP=1.8×
2025-2026,V3,325,217,66.8,263.19,0.598,-14.4,2.31,-24.1,769,444,57.7,95.5,SL=1.5×/TP=1.8×
2025-2026,V4,259,172,66.4,193.26,0.439,-12.27,2.19,-28.0,1151,892,77.5,112.9,SL=1.5×/TP=1.8×
