idx,datetime,close,l1_tag,l1_conf,l2_aligned,l3_bias,l3_conf,actual_direction,combined_pred
200,2025-02-03 08:00:00+00:00,95070.8,bear,0.933332506329192,True,NEUTRAL,53.2,UP,DOWN
208,2025-02-04 16:00:00+00:00,98811.8,bear,0.9333327341031311,True,NEUTRAL,50.0,DOWN,DOWN
216,2025-02-06 00:00:00+00:00,97305.6,bear,0.9333301467099532,True,NEUTRAL,50.0,DOWN,DOWN
224,2025-02-07 08:00:00+00:00,97703.8,bear,0.933332517583921,True,NEUTRAL,50.0,DOWN,DOWN
232,2025-02-08 16:00:00+00:00,96550.0,bear,0.9333324770798972,True,NEUTRAL,50.0,DOWN,DOWN
240,2025-02-10 00:00:00+00:00,96770.0,bear,0.9333325295759943,True,NEUTRAL,50.0,UP,DOWN
248,2025-02-11 08:00:00+00:00,98100.0,bear,0.933332340074948,False,NEUTRAL,50.0,DOWN,DOWN
256,2025-02-12 16:00:00+00:00,97156.6,neutral,0.9333330401513391,False,NEUTRAL,50.0,DOWN,DOWN
264,2025-02-14 00:00:00+00:00,97094.9,bull,0.933332776561587,False,NEUTRAL,50.0,UP,DOWN
272,2025-02-15 08:00:00+00:00,97569.4,bear,0.9333326824586563,False,NEUTRAL,50.0,DOWN,DOWN
280,2025-02-16 16:00:00+00:00,97021.5,neutral,0.9333327666263358,True,NEUTRAL,50.0,DOWN,UP
288,2025-02-18 00:00:00+00:00,96163.1,neutral,0.9333328217362994,True,NEUTRAL,50.0,DOWN,UP
296,2025-02-19 08:00:00+00:00,96392.0,neutral,0.9333329108748318,False,NEUTRAL,50.0,UP,DOWN
304,2025-02-20 16:00:00+00:00,98370.0,neutral,0.9333330351343386,False,NEUTRAL,50.0,UP,DOWN
312,2025-02-22 00:00:00+00:00,96249.9,neutral,0.9333329569916969,False,NEUTRAL,50.0,UP,DOWN
320,2025-02-23 08:00:00+00:00,96064.3,neutral,0.9333329736252078,True,NEUTRAL,50.0,DOWN,UP
328,2025-02-24 16:00:00+00:00,93916.1,bear,0.9333330137746793,True,NEUTRAL,50.0,DOWN,DOWN
336,2025-02-26 00:00:00+00:00,88851.8,bear,0.9333330789728056,True,NEUTRAL,55.5,DOWN,DOWN
344,2025-02-27 08:00:00+00:00,86655.3,bear,0.9333330713823683,True,NEUTRAL,54.7,DOWN,DOWN
352,2025-02-28 16:00:00+00:00,84393.3,neutral,0.9333320261009631,True,NEUTRAL,57.0,UP,UP
360,2025-03-02 00:00:00+00:00,85811.9,bull,0.9333330057428468,False,NEUTRAL,54.4,UP,DOWN
368,2025-03-03 08:00:00+00:00,92700.0,bull,0.9333331026253594,False,NEUTRAL,77.5,DOWN,DOWN
376,2025-03-04 16:00:00+00:00,88165.3,bull,0.25,False,NEUTRAL,76.9,UP,DOWN
384,2025-03-06 00:00:00+00:00,91563.2,bull,0.9333325019032039,False,NEUTRAL,67.8,DOWN,DOWN
392,2025-03-07 08:00:00+00:00,88928.8,bull,0.9333331868280411,True,NEUTRAL,57.9,DOWN,UP
400,2025-03-08 16:00:00+00:00,86190.5,neutral,0.9333330136892585,True,NEUTRAL,52.3,DOWN,UP
408,2025-03-10 00:00:00+00:00,82000.1,bear,0.933333233716808,True,NEUTRAL,55.0,DOWN,DOWN
416,2025-03-11 08:00:00+00:00,81684.6,bear,0.9333332612478235,True,NEUTRAL,54.3,UP,DOWN
424,2025-03-12 16:00:00+00:00,82877.3,bear,0.9333332279047972,False,NEUTRAL,52.7,UP,DOWN
432,2025-03-14 00:00:00+00:00,81861.5,bear,0.9333331391513945,True,NEUTRAL,50.0,UP,DOWN
440,2025-03-15 08:00:00+00:00,84054.8,bull,0.9333329141571675,False,NEUTRAL,50.0,UP,DOWN
448,2025-03-16 16:00:00+00:00,83064.3,bull,0.9333331420650716,False,NEUTRAL,50.0,UP,DOWN
456,2025-03-18 00:00:00+00:00,83107.6,bull,0.9333329746077944,False,NEUTRAL,50.0,DOWN,DOWN
464,2025-03-19 08:00:00+00:00,83848.4,bull,0.9333329088555786,False,NEUTRAL,50.0,UP,DOWN
