i,conf,label_enc,hour,dow,pred_bcd,actual,pred_lr,pred_dt
200,0.9811320754716981,1,8,0,0,1,0,1
208,0.9811320754716981,1,16,1,0,0,0,1
216,0.9811320754716981,1,0,3,0,0,0,0
224,0.9811320754716981,1,8,4,0,0,0,0
232,0.9811320754716981,1,16,5,0,0,0,0
296,0.9821428571428571,1,8,2,0,1,0,1
304,0.9821428571428571,1,16,3,0,1,0,0
312,0.9821428571428571,1,0,5,0,1,0,0
320,0.9821428571428571,1,8,6,0,0,0,0
328,0.9821428571428571,1,16,0,0,0,0,1
336,0.9821428571428571,1,0,2,0,0,0,0
344,0.9821428571428571,1,8,3,0,0,0,0
352,0.9375,0,16,4,1,1,1,1
360,0.9375,0,0,6,1,1,1,1
368,0.9166666666666666,1,8,0,0,0,0,1
376,0.5,0,16,1,1,1,1,1
384,0.9824561403508771,1,0,3,0,0,0,0
392,0.9824561403508771,1,8,4,0,0,0,0
400,0.9824561403508771,1,16,5,0,0,0,0
408,0.9824561403508771,1,0,0,0,0,0,0
416,0.9824561403508771,1,8,1,0,1,0,1
424,0.9824561403508771,1,16,2,0,1,0,1
432,0.9824561403508771,1,0,4,0,1,0,0
440,0.9824561403508771,0,8,5,1,1,1,0
448,0.9824561403508771,0,16,6,1,1,1,0
456,0.9824561403508771,0,0,1,1,0,1,0
464,0.9824561403508771,0,8,2,1,1,1,0
472,0.9824561403508771,0,16,3,1,0,1,0
480,0.9824561403508771,0,0,5,1,0,1,0
488,0.9824561403508771,0,8,6,1,1,1,0
552,0.975609756097561,1,0,3,0,0,0,1
560,0.975609756097561,1,8,4,0,1,0,1
568,0.975609756097561,1,16,5,0,0,0,1
576,0.975609756097561,1,0,0,0,1,0,1
584,0.975609756097561,1,8,1,0,0,0,1
592,0.98,0,16,2,1,0,1,1
600,0.98,0,0,4,1,1,1,1
608,0.98,0,8,5,1,1,1,1
616,0.98,0,16,6,1,1,1,1
624,0.98,0,0,1,1,0,1,1
632,0.98,0,8,2,1,0,1,1
640,0.98,0,16,3,1,0,1,1
648,0.98,0,0,5,1,1,1,1
656,0.98,0,8,6,1,1,1,1
664,0.98,0,16,0,1,1,1,1
672,0.98,0,0,2,1,1,1,1
680,0.98,0,8,3,1,1,1,1
688,0.98,0,16,4,1,0,1,1
744,0.98,0,0,0,1,1,0,1
752,0.98,0,8,1,1,1,1,1
760,0.98,0,16,2,1,1,1,1
768,0.98,0,0,4,1,1,1,1
776,0.98,0,8,5,1,1,1,1
784,0.98,0,16,6,1,0,1,1
792,0.98,0,0,1,1,1,1,1
800,0.98,0,8,2,1,0,1,1
808,0.98,0,16,3,1,1,1,1
816,0.98,0,0,5,1,0,1,1
824,0.98,0,8,6,1,0,1,1
832,0.98,0,16,0,1,0,1,1
840,0.98,0,0,2,1,1,1,1
896,0.98,1,8,4,0,0,0,0
904,0.98,1,16,5,0,0,0,0
912,0.98,1,0,0,0,0,0,0
920,0.98,1,8,1,0,1,0,1
928,0.98,1,16,2,0,0,0,1
936,0.98,1,0,4,0,1,0,0
992,0.98,1,8,6,0,1,0,0
1000,0.98,1,16,0,0,0,0,1
1008,0.98,1,0,2,0,0,0,0
1016,0.98,1,8,3,0,0,0,0
1024,0.98,1,16,4,0,1,0,0
1032,0.98,1,0,6,0,0,0,0
1040,0.98,1,8,0,0,1,0,1
1048,0.98,0,16,1,1,1,1,1
1056,0.98,0,0,3,1,0,1,1
1064,0.98,0,8,4,1,1,1,1
1072,0.98,0,16,5,1,1,1,1
1080,0.98,0,0,0,1,0,0,1
1088,0.98,0,8,1,1,0,1,1
1096,0.98,0,16,2,1,0,1,1
1104,0.98,0,0,4,1,0,1,1
1112,0.98,0,8,5,1,0,1,1
1120,0.98,0,16,6,1,1,1,1
1128,0.98,0,0,1,1,1,1,1
1136,0.98,0,8,2,1,1,1,1
1144,0.98,0,16,3,1,1,1,1
1152,0.98,0,0,5,1,0,1,1
1160,0.98,0,8,6,1,1,1,1
1168,0.98,0,16,0,1,0,1,1
1176,0.98,0,0,2,1,1,1,1
1184,0.98,0,8,3,1,1,1,1
1248,0.98,1,0,0,0,0,0,0
1256,0.98,1,8,1,0,0,0,1
1264,0.98,1,16,2,0,1,0,1
1272,0.98,1,0,4,0,0,0,0
1280,0.98,1,8,5,0,0,0,0
1288,0.98,1,16,6,0,1,1,0
1296,0.98,0,0,1,1,0,1,1
1304,0.98,0,8,2,1,1,1,1
1312,0.98,0,16,3,1,0,1,1
1320,0.98,0,0,5,1,1,1,1
1328,0.98,0,8,6,1,1,1,1
1336,0.98,0,16,0,1,0,1,1
1344,0.9830508474576272,1,0,2,0,1,0,0
1352,0.9830508474576272,1,8,3,0,0,0,0
1360,0.9830508474576272,1,16,4,0,1,0,0
1368,0.9830508474576272,1,0,6,0,0,0,0
1376,0.9830508474576272,1,8,0,0,0,0,1
1384,0.9830508474576272,1,16,1,0,1,0,1
1392,0.9830508474576272,1,0,3,0,0,0,0
1400,0.9830508474576272,1,8,4,0,1,0,0
1408,0.9795918367346939,1,16,5,0,0,0,0
1416,0.9795918367346939,1,0,0,0,0,0,0
1424,0.9795918367346939,1,8,1,0,1,0,1
1432,0.9795918367346939,1,16,2,0,1,0,1
1440,0.9795918367346939,1,0,4,0,0,0,0
1448,0.9795918367346939,1,8,5,0,1,0,0
1456,0.9795918367346939,0,16,6,1,0,1,1
1464,0.9795918367346939,0,0,1,1,1,1,1
1472,0.9795918367346939,0,8,2,1,0,1,1
1480,0.9795918367346939,0,16,3,1,1,1,1
1488,0.9795918367346939,0,0,5,1,0,1,1
1496,0.9795918367346939,0,8,6,1,0,1,1
1504,0.9795918367346939,0,16,0,1,1,1,1
1512,0.9795918367346939,0,0,2,1,1,1,1
1520,0.9795918367346939,0,8,3,1,1,1,1
1528,0.9795918367346939,0,16,4,1,0,1,1
1536,0.9795918367346939,0,0,6,1,0,1,1
1544,0.9795918367346939,0,8,0,1,1,1,1
1552,0.9795918367346939,1,16,1,0,0,0,1
1560,0.9795918367346939,1,0,3,0,0,0,0
1568,0.9795918367346939,1,8,4,0,0,0,0
1576,0.9795918367346939,1,16,5,0,0,0,0
1584,0.9795918367346939,1,0,0,0,0,0,0
1592,0.9795918367346939,1,8,1,0,0,0,1
1600,0.9795918367346939,0,16,2,1,0,1,1
1608,0.9795918367346939,0,0,4,1,0,1,1
1616,0.9795918367346939,0,8,5,1,1,1,1
1624,0.9795918367346939,0,16,6,1,1,1,1
1632,0.9795918367346939,0,0,1,1,0,1,1
1640,0.9795918367346939,0,8,2,1,1,1,1
1704,0.96875,1,0,6,0,1,0,1
1712,0.96875,1,8,0,0,0,0,1
1720,0.96875,1,16,1,0,0,0,1
1728,0.96875,1,0,3,0,0,0,1
1736,0.96875,1,8,4,0,1,0,1
1744,0.96875,1,16,5,0,1,0,1
1752,0.96875,1,0,0,0,1,0,1
1760,0.96875,1,8,1,0,0,0,1
1768,0.9791666666666666,0,16,2,1,1,1,1
1776,0.9791666666666666,0,0,4,1,1,1,1
1784,0.9791666666666666,0,8,5,1,0,1,1
1792,0.9791666666666666,0,16,6,1,1,1,1
1800,0.9791666666666666,0,0,1,1,0,1,1
1808,0.9791666666666666,0,8,2,1,0,1,1
1816,0.9791666666666666,1,16,3,0,1,0,1
1824,0.9791666666666666,1,0,5,0,1,0,1
1832,0.9791666666666666,1,8,6,0,0,0,1
1840,0.9791666666666666,1,16,0,0,0,0,1
1848,0.9791666666666666,1,0,2,0,1,0,1
1856,0.9791666666666666,1,8,3,0,0,0,1
1864,0.9791666666666666,1,16,4,0,0,0,1
1872,0.9791666666666666,1,0,6,0,1,0,1
1880,0.9791666666666666,1,8,0,0,1,0,1
1888,0.9791666666666666,1,16,1,0,1,0,1
1896,0.9791666666666666,1,0,3,0,0,0,1
1904,0.9791666666666666,1,8,4,0,1,0,1
1912,0.9791666666666666,1,16,5,0,0,0,1
1920,0.9791666666666666,1,0,0,0,0,0,1
1928,0.9791666666666666,1,8,1,0,1,0,1
1936,0.9791666666666666,1,16,2,0,1,0,1
1944,0.9791666666666666,1,0,4,0,0,0,1
1952,0.9791666666666666,1,8,5,0,1,0,1
1960,0.9803921568627451,0,16,6,1,0,1,0
1968,0.9803921568627451,0,0,1,1,0,1,0
1976,0.9803921568627451,0,8,2,1,1,1,0
1984,0.9803921568627451,0,16,3,1,0,1,0
1992,0.9803921568627451,0,0,5,1,0,1,0
2000,0.9803921568627451,0,8,6,1,0,1,0
2008,0.9811320754716981,0,16,0,1,1,1,0
2016,0.9811320754716981,0,0,2,1,1,1,0
2024,0.9811320754716981,0,8,3,1,0,1,0
2032,0.9811320754716981,0,16,4,1,0,1,0
2040,0.9811320754716981,0,0,6,1,1,1,0
2048,0.9811320754716981,0,8,0,1,0,1,0
2056,0.9811320754716981,0,16,1,1,0,1,0
2064,0.9811320754716981,1,0,3,0,1,0,0
2072,0.9811320754716981,1,8,4,0,0,0,0
2080,0.9811320754716981,1,16,5,0,0,0,0
2088,0.9811320754716981,1,0,0,0,0,0,0
2096,0.9811320754716981,1,8,1,0,0,0,1
2104,0.9811320754716981,1,16,2,0,1,0,1
