window,variation,trades,wins,wr_pct,total_pnl,daily_pct,max_dd,pf,dd_return_ratio,total_signals,skipped,filter_rate_pct,elapsed,sl_tp
2023 Full,V0,245,164,66.9,178.23,0.488,-22.75,2.14,-46.6,374,129,34.5,14.3,SL=1.5×/TP=1.8×
2023 Full,V1,201,134,66.7,147.61,0.404,-12.06,2.12,-29.8,477,276,57.9,14.5,SL=1.5×/TP=1.8×
2023 Full,V2,231,152,65.8,154.64,0.424,-22.75,2.02,-53.7,486,255,52.5,23.9,SL=1.5×/TP=1.8×
2023 Full,V3,225,146,64.9,148.41,0.407,-17.17,1.98,-42.2,483,258,53.4,46.5,SL=1.5×/TP=1.8×
2023 Full,V4,152,99,65.1,100.21,0.275,-17.55,2.02,-63.9,773,621,80.3,61.0,SL=1.5×/TP=1.8×
2024 H2,V0,129,86,66.7,145.49,0.791,-11.76,2.55,-14.9,319,190,59.6,8.8,SL=1.5×/TP=2.0×
2024 H2,V1,128,84,65.6,136.4,0.741,-11.76,2.31,-15.9,333,205,61.6,8.5,SL=1.5×/TP=2.0×
2024 H2,V2,109,71,65.1,114.0,0.62,-10.01,2.36,-16.2,387,278,71.8,21.7,SL=1.5×/TP=2.0×
2024 H2,V3,131,84,64.1,128.28,0.697,-16.19,2.15,-23.2,366,235,64.2,19.6,SL=1.5×/TP=2.0×
2024 H2,V4,72,46,63.9,68.87,0.374,-7.62,2.26,-20.4,559,487,87.1,23.8,SL=1.5×/TP=2.0×
2025-2026,V0,297,195,65.7,256.11,0.602,-15.97,2.44,-26.5,607,310,51.1,31.6,SL=1.5×/TP=2.0×
2025-2026,V1,289,188,65.1,253.95,0.597,-15.97,2.31,-26.8,646,357,55.3,40.6,SL=1.5×/TP=2.0×
2025-2026,V2,280,187,66.8,248.63,0.584,-13.4,2.59,-22.9,704,424,60.2,90.0,SL=1.5×/TP=2.0×
2025-2026,V3,296,190,64.2,251.56,0.591,-15.97,2.28,-27.0,685,389,56.8,118.9,SL=1.5×/TP=2.0×
2025-2026,V4,206,130,63.1,155.81,0.366,-14.3,2.17,-39.0,1065,859,80.7,125.3,SL=1.5×/TP=2.0×
