entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,limit_px
2022-01-16T08:00:00+00:00,2022-01-16T12:00:00+00:00,SHORT,43045.92,42740.29,94.5,TP,1,0.9333,neutral,ADVISORY,43045.92
2022-01-17T12:00:00+00:00,2022-01-17T16:00:00+00:00,SHORT,42552.42,42221.15,104.78,TRAIL_TP,1,0.9333,neutral,ACTIVE,42552.42
2022-01-17T20:00:00+00:00,2022-01-18T00:00:00+00:00,SHORT,42260.69,41960.64,94.5,TP,1,0.9333,neutral,ADVISORY,42260.69
2022-01-18T04:00:00+00:00,2022-01-18T08:00:00+00:00,SHORT,42124.08,41825.0,94.5,TP,1,0.9333,neutral,ACTIVE,42124.08
2022-01-18T12:00:00+00:00,2022-01-18T20:00:00+00:00,SHORT,41657.24,42212.53,-211.95,SL,2,0.9333,neutral,ACTIVE,41657.24
2022-01-19T00:00:00+00:00,2022-01-19T04:00:00+00:00,SHORT,41773.97,41271.21,168.53,TRAIL_TP,1,0.9333,neutral,ADVISORY,41773.97
2022-01-19T08:00:00+00:00,2022-01-19T16:00:00+00:00,SHORT,42107.2,41808.24,94.5,TP,2,0.9333,neutral,ADVISORY,42107.2
2022-01-19T20:00:00+00:00,2022-01-20T12:00:00+00:00,SHORT,41741.21,42297.62,-211.95,SL,4,0.9333,neutral,ADVISORY,41741.21
2022-02-01T20:00:00+00:00,2022-02-02T12:00:00+00:00,LONG,38603.15,38088.57,-211.95,SL,4,0.9333,bull,ADVISORY,38603.15
2022-02-03T04:00:00+00:00,2022-02-03T08:00:00+00:00,SHORT,37069.49,36754.99,115.26,TRAIL_TP,1,0.9333,neutral,ADVISORY,37069.49
2022-02-03T16:00:00+00:00,2022-02-03T20:00:00+00:00,SHORT,36611.84,37099.87,-211.95,SL,1,0.9333,neutral,ADVISORY,36611.84
2022-02-04T00:00:00+00:00,2022-02-04T04:00:00+00:00,SHORT,37357.38,37855.35,-211.95,SL,1,0.9333,neutral,ADVISORY,37357.38
2022-02-06T12:00:00+00:00,2022-02-06T16:00:00+00:00,LONG,41427.7,41721.84,94.5,TP,1,0.9333,bull,ADVISORY,41427.7
2022-02-14T12:00:00+00:00,2022-02-14T16:00:00+00:00,LONG,42479.87,41913.61,-211.95,SL,1,0.9333,bull,ADVISORY,42479.87
2022-02-14T20:00:00+00:00,2022-02-15T00:00:00+00:00,LONG,42440.09,43535.1,375.02,TRAIL_TP,1,0.9333,bull,ADVISORY,42440.09
2022-02-15T04:00:00+00:00,2022-02-15T08:00:00+00:00,LONG,43578.37,44214.4,206.93,TRAIL_TP,1,0.9333,bull,ADVISORY,43578.37
2022-02-15T16:00:00+00:00,2022-02-15T20:00:00+00:00,LONG,43901.62,44529.6,202.56,TRAIL_TP,1,0.9333,bull,ADVISORY,43901.62
2022-02-16T04:00:00+00:00,2022-02-16T12:00:00+00:00,LONG,44077.17,43489.62,-211.95,SL,2,0.9333,bull,ADVISORY,44077.17
2022-03-14T16:00:00+00:00,2022-03-14T20:00:00+00:00,SHORT,38872.59,39390.76,-211.95,SL,1,0.9333,neutral,ADVISORY,38872.59
2022-03-19T04:00:00+00:00,2022-03-19T12:00:00+00:00,LONG,41521.89,41909.0,127.85,TRAIL_TP,2,0.9333,bull,ADVISORY,41521.89
2022-03-19T16:00:00+00:00,2022-03-19T20:00:00+00:00,LONG,41924.38,42222.05,94.5,TP,1,0.9333,bull,ADVISORY,41924.38
2022-03-20T00:00:00+00:00,2022-03-20T12:00:00+00:00,LONG,41838.36,41280.65,-211.95,SL,3,0.9333,bull,ADVISORY,41838.36
2022-03-20T16:00:00+00:00,2022-03-20T20:00:00+00:00,LONG,41281.77,41574.87,94.5,TP,1,0.9333,bull,ACTIVE,41281.77
2022-03-21T08:00:00+00:00,2022-03-21T12:00:00+00:00,LONG,41136.26,41428.33,94.5,TP,1,0.9333,bull,ADVISORY,41136.26
2022-03-22T00:00:00+00:00,2022-03-22T04:00:00+00:00,LONG,40900.04,42197.9,463.99,TRAIL_TP,1,0.9333,bull,ADVISORY,40900.04
2022-03-22T08:00:00+00:00,2022-03-22T16:00:00+00:00,LONG,42891.05,42319.31,-211.95,SL,2,0.9333,bull,ADVISORY,42891.05
2022-03-22T20:00:00+00:00,2022-03-23T12:00:00+00:00,LONG,42265.1,42588.7,102.85,TRAIL_TP,4,0.9333,bull,ADVISORY,42265.1
2022-03-23T16:00:00+00:00,2022-03-23T20:00:00+00:00,LONG,42108.41,42867.9,258.55,TRAIL_TP,1,0.9333,bull,ADVISORY,42108.41
2022-03-24T00:00:00+00:00,,LONG,,,,MISS,0,0.9333,bull,ADVISORY,42611.01
2022-03-24T04:00:00+00:00,2022-03-24T12:00:00+00:00,LONG,42974.88,43967.0,334.29,TRAIL_TP,2,0.9333,bull,ADVISORY,42974.88
2022-03-24T16:00:00+00:00,2022-03-25T00:00:00+00:00,LONG,43803.32,44114.32,94.5,TP,2,0.9333,bull,ADVISORY,43803.32
2022-03-25T08:00:00+00:00,2022-03-25T12:00:00+00:00,LONG,43814.6,44320.2,161.09,TRAIL_TP,1,0.9333,bull,ADVISORY,43814.6
2022-03-25T16:00:00+00:00,2022-03-26T16:00:00+00:00,LONG,44339.94,44340.9,-11.68,TIME_EXIT,6,0.9333,bull,ADVISORY,44339.94
2022-03-26T20:00:00+00:00,2022-03-27T00:00:00+00:00,LONG,44400.22,44715.46,94.5,TP,1,0.9333,bull,ACTIVE,44400.22
2022-03-27T04:00:00+00:00,2022-03-27T16:00:00+00:00,LONG,44630.46,44947.34,94.5,TP,3,0.9333,bull,ACTIVE,44630.46
2022-03-27T20:00:00+00:00,2022-03-28T00:00:00+00:00,LONG,46727.16,47058.92,94.5,TP,1,0.5573,bull,ADVISORY,46727.16
2022-03-28T04:00:00+00:00,2022-03-28T08:00:00+00:00,LONG,46890.53,47250.0,102.99,TRAIL_TP,1,0.9333,bull,ACTIVE,46890.53
2022-03-28T12:00:00+00:00,2022-03-28T16:00:00+00:00,LONG,47316.08,47923.0,180.4,TRAIL_TP,1,0.9333,bull,ACTIVE,47316.08
2022-03-29T04:00:00+00:00,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,47235.44
2022-03-29T08:00:00+00:00,2022-03-29T16:00:00+00:00,LONG,47777.55,47140.68,-211.95,SL,2,0.9333,bull,ACTIVE,47777.55
2022-03-30T04:00:00+00:00,2022-03-30T16:00:00+00:00,LONG,47276.86,47612.52,94.5,TP,3,0.9333,bull,ADVISORY,47276.86
2022-03-30T20:00:00+00:00,2022-03-31T00:00:00+00:00,LONG,46959.09,47292.5,94.5,TP,1,0.9333,bull,ACTIVE,46959.09
2022-03-31T04:00:00+00:00,2022-03-31T08:00:00+00:00,LONG,47045.72,47379.74,94.5,TP,1,0.9333,bull,ACTIVE,47045.72
2022-03-31T12:00:00+00:00,2022-03-31T16:00:00+00:00,LONG,46357.1,45739.16,-211.95,SL,1,0.9333,bull,ADVISORY,46357.1
2022-04-01T16:00:00+00:00,2022-04-02T00:00:00+00:00,LONG,46256.7,46587.5,95.27,TRAIL_TP,2,0.9333,bull,ADVISORY,46256.7
2022-04-02T04:00:00+00:00,2022-04-02T12:00:00+00:00,LONG,46484.84,46814.89,94.5,TP,2,0.9333,bull,ADVISORY,46484.84
2022-04-03T04:00:00+00:00,2022-04-03T12:00:00+00:00,LONG,46270.97,46599.5,94.5,TP,2,0.9333,bull,ADVISORY,46270.97
2022-04-03T16:00:00+00:00,2022-04-03T20:00:00+00:00,LONG,46295.22,46623.92,94.5,TP,1,0.9333,bull,ACTIVE,46295.22
2022-04-04T08:00:00+00:00,2022-04-04T16:00:00+00:00,LONG,46057.6,45443.65,-211.95,SL,2,0.9333,bull,ADVISORY,46057.6
2022-04-04T20:00:00+00:00,2022-04-05T04:00:00+00:00,LONG,46487.74,46817.8,94.5,TP,2,0.9333,bull,ADVISORY,46487.74
2022-04-05T08:00:00+00:00,2022-04-05T12:00:00+00:00,LONG,46580.05,45959.14,-211.95,SL,1,0.9333,bull,ACTIVE,46580.05
2022-04-10T00:00:00+00:00,2022-04-10T08:00:00+00:00,SHORT,42813.16,42509.18,94.5,TP,2,0.9333,bear,ACTIVE,42813.16
2022-04-10T12:00:00+00:00,2022-04-10T20:00:00+00:00,SHORT,42808.05,43378.68,-211.95,SL,2,0.9333,bear,ACTIVE,42808.05
2022-04-11T04:00:00+00:00,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,42367.17
2022-04-12T20:00:00+00:00,2022-04-13T00:00:00+00:00,SHORT,40140.82,39855.82,94.5,TP,1,0.9333,neutral,ADVISORY,40140.82
2022-04-16T04:00:00+00:00,2022-04-16T12:00:00+00:00,SHORT,40456.75,40039.8,142.59,TRAIL_TP,2,0.9333,bear,ACTIVE,40456.75
2022-04-16T20:00:00+00:00,2022-04-17T16:00:00+00:00,SHORT,40269.88,39983.96,94.5,TP,5,0.9333,neutral,ACTIVE,40269.88
2022-04-17T20:00:00+00:00,2022-04-18T04:00:00+00:00,SHORT,39728.4,38902.1,299.98,TRAIL_TP,2,0.9333,bear,ACTIVE,39728.4
2022-04-18T08:00:00+00:00,2022-04-18T12:00:00+00:00,SHORT,39053.25,39573.83,-211.95,SL,1,0.9333,bear,ACTIVE,39053.25
2022-04-20T00:00:00+00:00,2022-04-20T08:00:00+00:00,SHORT,41455.35,42007.94,-211.95,SL,2,0.9333,neutral,ADVISORY,41455.35
