candle,equity
2022-11-19T08:00:00+00:00,10000.0
2022-11-20T08:00:00+00:00,10129.82
2022-11-21T08:00:00+00:00,10224.32
2022-11-25T12:00:00+00:00,10318.82
2022-11-26T12:00:00+00:00,10413.32
2022-11-27T20:00:00+00:00,10528.56
2022-11-28T12:00:00+00:00,10623.06
2022-11-29T04:00:00+00:00,10411.11
2022-11-30T00:00:00+00:00,10793.31
2022-11-30T16:00:00+00:00,11015.18
2022-12-01T12:00:00+00:00,11109.68
2022-12-02T00:00:00+00:00,11204.18
2022-12-02T16:00:00+00:00,11298.68
2022-12-04T04:00:00+00:00,11278.13
2022-12-05T16:00:00+00:00,11066.18
2022-12-06T20:00:00+00:00,11203.36
2022-12-07T08:00:00+00:00,10991.41
2022-12-08T12:00:00+00:00,11128.35
2022-12-09T00:00:00+00:00,11222.85
2022-12-10T12:00:00+00:00,11283.25
2022-12-12T20:00:00+00:00,11071.3
2022-12-13T20:00:00+00:00,11165.8
2022-12-14T20:00:00+00:00,11260.3
2022-12-15T12:00:00+00:00,11048.35
2022-12-16T04:00:00+00:00,11164.9
2022-12-17T00:00:00+00:00,11394.87
2022-12-18T08:00:00+00:00,11489.37
2022-12-19T00:00:00+00:00,11583.87
2022-12-20T00:00:00+00:00,11371.92
2022-12-21T12:00:00+00:00,11466.42
2022-12-22T12:00:00+00:00,11631.81
2022-12-23T20:00:00+00:00,11588.62
2022-12-27T00:00:00+00:00,11578.87
2022-12-28T16:00:00+00:00,11685.81
2022-12-30T04:00:00+00:00,11825.53
2022-12-31T20:00:00+00:00,11920.03
2023-01-03T00:00:00+00:00,11903.16
2023-01-04T16:00:00+00:00,11691.21
2023-01-07T12:00:00+00:00,11572.66
2023-01-10T12:00:00+00:00,11685.91
2023-01-11T16:00:00+00:00,11838.77
2023-01-12T12:00:00+00:00,11933.27
2023-01-13T16:00:00+00:00,12349.38
2023-01-18T12:00:00+00:00,12137.43
2023-01-23T16:00:00+00:00,12231.93
2023-01-24T20:00:00+00:00,12019.98
2023-01-26T12:00:00+00:00,12114.48
2023-01-27T12:00:00+00:00,12208.98
2023-01-28T20:00:00+00:00,12122.68
2023-01-30T08:00:00+00:00,11910.73
2023-01-30T20:00:00+00:00,11698.78
2023-01-31T20:00:00+00:00,11793.28
2023-02-01T20:00:00+00:00,11581.33
2023-02-02T12:00:00+00:00,11675.83
2023-02-03T08:00:00+00:00,11463.88
2023-02-04T16:00:00+00:00,11416.24
2023-02-06T00:00:00+00:00,11510.74
2023-02-06T20:00:00+00:00,11648.6
2023-02-07T16:00:00+00:00,11436.65
2023-02-08T16:00:00+00:00,11224.7
2023-02-09T16:00:00+00:00,11608.42
2023-02-10T04:00:00+00:00,11702.92
2023-02-10T16:00:00+00:00,11797.42
2023-02-12T20:00:00+00:00,11891.92
2023-02-14T12:00:00+00:00,11679.97
2023-02-15T12:00:00+00:00,11468.02
2023-02-16T16:00:00+00:00,11714.78
2023-02-19T20:00:00+00:00,11502.83
2023-02-20T16:00:00+00:00,11597.33
2023-02-21T12:00:00+00:00,11385.38
2023-02-26T20:00:00+00:00,11173.43
2023-02-27T16:00:00+00:00,11330.79
2023-02-28T20:00:00+00:00,11453.64
2023-03-01T12:00:00+00:00,11548.14
2023-03-02T00:00:00+00:00,11336.19
2023-03-03T00:00:00+00:00,12066.14
2023-03-05T00:00:00+00:00,11854.19
2023-03-05T20:00:00+00:00,11948.69
2023-03-06T20:00:00+00:00,12043.19
2023-03-07T16:00:00+00:00,12253.6
2023-03-08T12:00:00+00:00,12348.1
2023-03-09T00:00:00+00:00,12567.56
2023-03-09T16:00:00+00:00,13205.22
2023-03-22T20:00:00+00:00,12993.27
2023-03-31T20:00:00+00:00,13087.77
2023-04-02T04:00:00+00:00,13082.09
2023-04-02T16:00:00+00:00,12870.14
2023-04-03T04:00:00+00:00,12658.19
2023-04-03T20:00:00+00:00,12446.24
2023-04-05T00:00:00+00:00,12649.04
2023-04-07T04:00:00+00:00,12751.69
2023-04-09T00:00:00+00:00,12747.09
2023-04-09T20:00:00+00:00,12535.14
2023-04-11T12:00:00+00:00,12635.37
2023-04-12T00:00:00+00:00,12729.87
2023-04-12T16:00:00+00:00,12824.37
2023-04-14T00:00:00+00:00,13017.63
2023-04-14T16:00:00+00:00,12805.68
2023-04-16T00:00:00+00:00,12768.02
