signal_time,entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,entry_mode,limit_px,miss_reason,execution_resolution
2022-11-18T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,16731.24,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-19T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,16705.31,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-19T04:00:00+00:00,2022-11-19T08:00:00+00:00,2022-11-20T08:00:00+00:00,SHORT,16675.16,16517.5,129.82,TRAIL_TP,6,0.9333,neutral,ADVISORY,pullback,16675.16,,4H_OHLC_APPROX
2022-11-20T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,16653.15,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-20T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,16664.91,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-20T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,16353.96,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-21T00:00:00+00:00,2022-11-21T04:00:00+00:00,2022-11-21T08:00:00+00:00,SHORT,16147.54,16032.89,94.5,TP,1,0.9333,bear,ACTIVE,pullback,16147.54,,4H_OHLC_APPROX
2022-11-21T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,16203.31,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-24T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,16651.84,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-24T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,16675.36,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2022-11-25T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,16562.7,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
