date,pnl,n_trades
2022-11-19,13.5,1
2022-11-20,403.1,2
2022-11-21,116.40000000000003,2
2022-11-25,94.5,1
2022-11-26,37.75,2
2022-11-27,94.5,1
2022-11-28,-211.95,1
2022-11-29,94.5,1
2022-11-30,480.81,2
2022-12-01,-211.95,1
2022-12-02,94.5,1
2022-12-03,94.5,1
2022-12-04,189.0,2
2022-12-05,-117.44999999999999,2
2022-12-06,-51.54,1
2022-12-07,-211.95,1
2022-12-08,-61.06,1
2022-12-09,94.5,1
2022-12-11,-14.8,1
2022-12-12,-76.11999999999998,2
2022-12-13,257.09,1
2022-12-14,-117.44999999999999,2
2022-12-15,-423.9,2
2022-12-16,-117.44999999999999,2
2022-12-17,-141.84,1
2022-12-19,180.54,2
2022-12-20,-423.9,2
2022-12-21,189.0,2
2022-12-22,94.5,1
2022-12-23,-117.44999999999999,2
2022-12-24,-8.53,1
2022-12-25,94.5,1
2022-12-26,-55.07,1
2022-12-27,96.38,1
2022-12-28,189.0,2
2022-12-30,45.62,2
2022-12-31,-51.5,1
2023-01-01,-77.94,1
2023-01-03,55.57,2
2023-01-04,-211.95,1
2023-01-06,-211.95,1
2023-01-07,-18.46,1
2023-01-09,189.0,2
2023-01-10,117.12,1
2023-01-11,94.5,1
2023-01-12,317.91999999999996,2
2023-01-13,189.0,2
2023-01-14,795.13,1
2023-01-18,-211.95,1
2023-01-20,802.34,1
2023-01-23,247.28,2
2023-01-24,-423.9,2
2023-01-26,189.0,2
2023-01-27,-107.82,2
2023-01-28,-45.88,1
2023-01-29,369.67,2
2023-01-30,-423.9,2
2023-01-31,94.5,1
2023-02-01,-211.95,1
2023-02-02,189.0,2
2023-02-03,94.5,1
2023-02-04,94.5,1
2023-02-05,134.9,1
2023-02-06,189.0,2
2023-02-07,-211.95,1
2023-02-08,-117.44999999999999,2
2023-02-09,633.74,2
2023-02-10,283.5,3
2023-02-12,-295.46,2
2023-02-13,356.32,3
2023-02-14,-211.95,1
2023-02-15,-423.9,2
2023-02-16,299.35,1
2023-02-19,-211.95,1
2023-02-20,94.5,1
2023-02-21,-117.44999999999999,2
2023-02-26,-211.95,1
2023-02-27,-423.9,2
2023-02-28,-117.44999999999999,2
2023-03-01,219.99,1
2023-03-02,189.0,2
2023-03-03,-211.95,1
2023-03-04,94.5,1
2023-03-06,-14.55,1
2023-03-07,158.57,3
2023-03-08,395.61,3
2023-03-09,631.41,2
2023-03-22,-211.95,1
2023-04-01,94.5,1
2023-04-02,-231.76,2
2023-04-03,-276.53999999999996,3
2023-04-04,127.97,1
