candle,equity
2022-11-18T16:00:00+00:00,10000.0
2022-11-19T16:00:00+00:00,10013.5
2022-11-20T08:00:00+00:00,10159.11
2022-11-20T20:00:00+00:00,10416.6
2022-11-21T04:00:00+00:00,10204.65
2022-11-21T16:00:00+00:00,10533.0
2022-11-25T04:00:00+00:00,10627.5
2022-11-26T08:00:00+00:00,10570.75
2022-11-26T20:00:00+00:00,10665.25
2022-11-27T20:00:00+00:00,10759.75
2022-11-28T16:00:00+00:00,10547.8
2022-11-29T00:00:00+00:00,10642.3
2022-11-30T00:00:00+00:00,10977.41
2022-11-30T16:00:00+00:00,11123.11
2022-12-01T12:00:00+00:00,10911.16
2022-12-02T12:00:00+00:00,11005.66
2022-12-03T00:00:00+00:00,11100.16
2022-12-04T04:00:00+00:00,11194.66
2022-12-04T16:00:00+00:00,11289.16
2022-12-05T00:00:00+00:00,11383.66
2022-12-05T12:00:00+00:00,11171.71
2022-12-06T16:00:00+00:00,11120.17
2022-12-07T04:00:00+00:00,10908.22
2022-12-08T08:00:00+00:00,10847.16
2022-12-09T12:00:00+00:00,10941.66
2022-12-11T16:00:00+00:00,10926.86
2022-12-12T00:00:00+00:00,11062.69
2022-12-12T20:00:00+00:00,10850.74
2022-12-13T12:00:00+00:00,11107.83
2022-12-14T08:00:00+00:00,11202.33
2022-12-14T16:00:00+00:00,10990.38
2022-12-15T00:00:00+00:00,10778.43
2022-12-15T12:00:00+00:00,10566.48
2022-12-16T08:00:00+00:00,10354.53
2022-12-16T16:00:00+00:00,10449.03
2022-12-17T20:00:00+00:00,10307.19
2022-12-19T00:00:00+00:00,10351.56
2022-12-19T16:00:00+00:00,10487.73
2022-12-20T00:00:00+00:00,10275.78
2022-12-20T12:00:00+00:00,10063.83
2022-12-21T04:00:00+00:00,10158.33
2022-12-21T12:00:00+00:00,10252.83
2022-12-22T12:00:00+00:00,10347.33
2022-12-23T00:00:00+00:00,10135.38
2022-12-23T12:00:00+00:00,10229.88
2022-12-24T16:00:00+00:00,10221.35
2022-12-25T12:00:00+00:00,10315.85
2022-12-26T16:00:00+00:00,10260.78
2022-12-27T12:00:00+00:00,10357.16
2022-12-28T00:00:00+00:00,10451.66
2022-12-28T20:00:00+00:00,10546.16
2022-12-30T00:00:00+00:00,10497.28
2022-12-30T12:00:00+00:00,10591.78
2022-12-31T16:00:00+00:00,10540.28
2023-01-01T20:00:00+00:00,10462.34
2023-01-03T00:00:00+00:00,10423.41
2023-01-03T16:00:00+00:00,10517.91
2023-01-04T04:00:00+00:00,10305.96
2023-01-06T16:00:00+00:00,10094.01
2023-01-07T20:00:00+00:00,10075.55
2023-01-09T04:00:00+00:00,10170.05
2023-01-09T16:00:00+00:00,10264.55
2023-01-10T12:00:00+00:00,10381.67
2023-01-11T16:00:00+00:00,10476.17
2023-01-12T00:00:00+00:00,10699.59
2023-01-12T12:00:00+00:00,10794.09
2023-01-13T08:00:00+00:00,10888.59
2023-01-13T16:00:00+00:00,10983.09
2023-01-14T00:00:00+00:00,11778.22
2023-01-18T12:00:00+00:00,11566.27
2023-01-20T20:00:00+00:00,12368.61
2023-01-23T08:00:00+00:00,12521.39
2023-01-23T16:00:00+00:00,12615.89
2023-01-24T08:00:00+00:00,12403.94
2023-01-24T20:00:00+00:00,12191.99
2023-01-26T00:00:00+00:00,12286.49
2023-01-26T12:00:00+00:00,12380.99
2023-01-27T00:00:00+00:00,12169.04
2023-01-27T16:00:00+00:00,12273.17
2023-01-28T20:00:00+00:00,12227.29
2023-01-29T08:00:00+00:00,12370.53
2023-01-29T16:00:00+00:00,12596.96
2023-01-30T08:00:00+00:00,12385.01
2023-01-30T16:00:00+00:00,12173.06
2023-01-31T08:00:00+00:00,12267.56
2023-02-01T16:00:00+00:00,12055.61
2023-02-02T00:00:00+00:00,12150.11
2023-02-02T16:00:00+00:00,12244.61
2023-02-03T12:00:00+00:00,12339.11
2023-02-04T12:00:00+00:00,12433.61
2023-02-05T12:00:00+00:00,12568.51
2023-02-06T04:00:00+00:00,12663.01
2023-02-06T20:00:00+00:00,12757.51
2023-02-07T16:00:00+00:00,12545.56
2023-02-08T00:00:00+00:00,12640.06
2023-02-08T12:00:00+00:00,12428.11
2023-02-09T00:00:00+00:00,12649.43
2023-02-09T16:00:00+00:00,13061.85
2023-02-10T04:00:00+00:00,13156.35
2023-02-10T12:00:00+00:00,13250.85
2023-02-10T20:00:00+00:00,13345.35
2023-02-12T00:00:00+00:00,13261.84
2023-02-12T16:00:00+00:00,13049.89
2023-02-13T00:00:00+00:00,13144.39
2023-02-13T08:00:00+00:00,13311.71
2023-02-13T16:00:00+00:00,13406.21
2023-02-14T12:00:00+00:00,13194.26
2023-02-15T08:00:00+00:00,12982.31
2023-02-15T16:00:00+00:00,12770.36
2023-02-16T12:00:00+00:00,13069.71
2023-02-19T16:00:00+00:00,12857.76
2023-02-20T12:00:00+00:00,12952.26
2023-02-21T00:00:00+00:00,13046.76
2023-02-21T08:00:00+00:00,12834.81
2023-02-26T16:00:00+00:00,12622.86
2023-02-27T12:00:00+00:00,12410.91
2023-02-27T20:00:00+00:00,12198.96
2023-02-28T12:00:00+00:00,11987.01
2023-02-28T20:00:00+00:00,12081.51
2023-03-01T16:00:00+00:00,12301.5
2023-03-02T00:00:00+00:00,12396.0
2023-03-02T12:00:00+00:00,12490.5
2023-03-03T00:00:00+00:00,12278.55
2023-03-04T20:00:00+00:00,12373.05
2023-03-06T00:00:00+00:00,12358.5
2023-03-07T04:00:00+00:00,12328.07
2023-03-07T12:00:00+00:00,12422.57
2023-03-07T20:00:00+00:00,12517.07
2023-03-08T04:00:00+00:00,12626.74
2023-03-08T12:00:00+00:00,12721.24
2023-03-08T20:00:00+00:00,12912.68
2023-03-09T08:00:00+00:00,13007.18
2023-03-09T16:00:00+00:00,13544.09
2023-03-22T16:00:00+00:00,13332.14
2023-04-01T00:00:00+00:00,13426.64
2023-04-02T04:00:00+00:00,13406.83
2023-04-02T16:00:00+00:00,13194.88
2023-04-03T00:00:00+00:00,12982.93
2023-04-03T08:00:00+00:00,13130.29
2023-04-03T20:00:00+00:00,12918.34
2023-04-04T08:00:00+00:00,13046.31
2023-04-05T00:00:00+00:00,13228.66
2023-04-06T00:00:00+00:00,13323.16
2023-04-06T08:00:00+00:00,13417.66
2023-04-06T20:00:00+00:00,13512.16
2023-04-07T04:00:00+00:00,13607.33
2023-04-08T12:00:00+00:00,13555.53
2023-04-09T16:00:00+00:00,13343.58
2023-04-10T20:00:00+00:00,13567.24
2023-04-11T16:00:00+00:00,13661.74
2023-04-12T12:00:00+00:00,13449.79
2023-04-13T00:00:00+00:00,13572.64
2023-04-13T08:00:00+00:00,13667.14
