signal_time,entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,entry_mode,limit_px,miss_reason,execution_resolution
2022-11-18T16:00:00+00:00,2022-11-18T16:00:00+00:00,2022-11-19T16:00:00+00:00,SHORT,16648.0,16619.7,13.5,TIME_EXIT,6,0.9333,neutral,ADVISORY,market,,,4H_OHLC_APPROX
2022-11-19T20:00:00+00:00,2022-11-19T20:00:00+00:00,2022-11-20T08:00:00+00:00,SHORT,16692.9,16517.5,145.61,TRAIL_TP,3,0.9333,neutral,ADVISORY,market,,,4H_OHLC_APPROX
2022-11-20T12:00:00+00:00,2022-11-20T12:00:00+00:00,2022-11-20T20:00:00+00:00,SHORT,16570.3,16272.6,257.49,TRAIL_TP,2,0.9333,neutral,ACTIVE,market,,,4H_OHLC_APPROX
2022-11-21T00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-21T04:00:00+00:00,SHORT,16067.2,16281.38,-211.95,SL,1,0.9333,bear,ACTIVE,market,,,4H_OHLC_APPROX
2022-11-21T08:00:00+00:00,2022-11-21T08:00:00+00:00,2022-11-21T16:00:00+00:00,SHORT,16077.6,15712.8,328.35,TRAIL_TP,2,0.9333,bear,ACTIVE,market,,,4H_OHLC_APPROX
2022-11-24T16:00:00+00:00,2022-11-24T16:00:00+00:00,2022-11-25T04:00:00+00:00,SHORT,16569.0,16451.36,94.5,TP,3,0.9333,neutral,ADVISORY,market,,,4H_OHLC_APPROX
2022-11-25T08:00:00+00:00,2022-11-25T08:00:00+00:00,2022-11-26T08:00:00+00:00,SHORT,16523.5,16572.8,-56.75,TIME_EXIT,6,0.9333,neutral,ADVISORY,market,,,4H_OHLC_APPROX
2022-11-26T12:00:00+00:00,2022-11-26T12:00:00+00:00,2022-11-26T20:00:00+00:00,SHORT,16506.4,16389.2,94.5,TP,2,0.9333,neutral,ACTIVE,market,,,4H_OHLC_APPROX
2022-11-27T00:00:00+00:00,2022-11-27T00:00:00+00:00,2022-11-27T20:00:00+00:00,SHORT,16520.0,16402.71,94.5,TP,5,0.9333,neutral,ACTIVE,market,,,4H_OHLC_APPROX
2022-11-28T00:00:00+00:00,2022-11-28T00:00:00+00:00,2022-11-28T16:00:00+00:00,SHORT,16168.9,16384.43,-211.95,SL,4,0.9333,neutral,ACTIVE,market,,,4H_OHLC_APPROX
2022-11-28T20:00:00+00:00,2022-11-28T20:00:00+00:00,2022-11-29T00:00:00+00:00,SHORT,16204.5,16089.45,94.5,TP,1,0.9333,neutral,ACTIVE,market,,,4H_OHLC_APPROX
