date,pnl,n_trades
2023-01-24,-396.31359743999997,2
2023-01-25,-192.22738703364098,1
2023-01-29,263.3702690904896,1
2023-01-30,-569.4033551782813,3
2023-01-31,-182.2542054036424,1
2023-02-01,506.3998488048966,2
2023-02-03,-188.7423046019619,1
2023-02-05,-184.96443863304904,1
2023-02-08,253.41932139166,1
2023-02-09,803.6074504401813,3
2023-02-13,282.9991585746024,1
2023-02-14,-412.00328656933175,2
2023-02-15,-959.9806348249433,5
2023-02-16,-168.68594831583087,3
2023-02-17,-177.24610134026787,1
2023-02-19,-173.69834337584106,1
2023-02-20,-170.22159733483022,1
2023-02-21,-166.81444184257626,1
2023-02-24,463.49991178785615,2
2023-03-01,-172.752898209001,1
2023-03-02,236.68831996090177,1
2023-03-03,-174.03262961078704,1
2023-03-08,185.76861029939727,1
2023-03-09,751.5655566871824,3
2023-03-10,70.0634874705606,2
2023-03-12,-560.7642491816695,3
2023-03-13,451.91750432529034,2
2023-03-14,263.58672545392756,1
2023-03-17,549.5084995696916,2
2023-03-19,286.3403822309878,1
2023-03-27,-210.54089061787457,1
2023-03-29,-408.52357299224263,2
2023-03-31,-198.14969631425447,1
2023-04-02,-194.18353199282834,1
2023-04-03,-121.27808877922902,3
2023-04-10,532.6632452844716,2
2023-04-11,277.5625806963728,1
2023-04-12,-204.0867323242874,1
2023-04-13,279.6187288372166,1
2023-04-16,-205.5985807664902,1
2023-04-17,-782.0572111247325,4
2023-04-18,526.8804229997241,2
2023-04-19,-762.2319970112233,4
2023-04-20,-181.11886533058123,1
2023-04-21,503.2452656770779,2
2023-04-23,-187.5665473599167,1
2023-04-25,-363.9452453935165,2
2023-04-26,-457.565754320411,5
2023-04-27,-167.36885117768668,1
2023-04-30,-324.75459227923784,2
2023-05-03,-311.88412620410327,2
2023-05-05,-151.27583566335153,1
2023-05-08,207.26264951295937,1
2023-05-10,432.08772124077495,2
2023-05-11,225.1542302881322,1
2023-05-12,231.4549462685153,1
2023-05-14,-170.18462483567848,1
2023-05-15,-166.77820938496757,1
2023-05-18,228.50241353206317,1
2023-05-24,476.36700289751093,2
2023-05-26,-177.54864298517242,1
2023-05-27,-344.5069781901493,2
2023-05-28,-330.85369820317703,2
2023-05-29,-160.4768100484924,1
2023-05-31,-311.38160207745284,2
2023-06-05,428.2193246974738,2
2023-06-06,-101.71685215333477,3
2023-06-07,220.29202427468334,1
2023-06-10,459.25051619304537,2
2023-06-11,-171.16908905182498,1
2023-06-14,475.5994552989538,2
2023-06-15,-177.26256726262753,1
2023-06-16,-343.95189040659614,2
2023-06-19,61.74334903089235,2
2023-06-20,724.8192283276073,3
2023-06-21,787.3879632226538,3
2023-06-23,352.74437102563957,3
2023-06-28,-205.39466402864187,1
2023-06-30,-128.28004539419743,3
2023-07-03,277.82093405069185,1
2023-07-05,285.59547506916584,1
2023-07-06,77.71795597559247,2
2023-07-10,-211.54877649658482,1
2023-07-12,289.84245716204106,1
2023-07-13,379.03427952182625,3
2023-07-14,-436.98772159398584,2
2023-07-24,533.6626801274637,2
2023-08-01,-361.6869495819691,4
2023-08-02,-426.48493604026936,2
2023-08-07,76.55898687233173,2
2023-08-08,-132.8116856085503,3
2023-08-09,-407.35338717447473,2
