candle,equity
2025-01-01T00:00:00+00:00,10000.0
2025-01-02T04:00:00+00:00,9599.68
2025-01-06T12:00:00+00:00,10136.95
2025-01-06T16:00:00+00:00,10704.3
2025-01-07T12:00:00+00:00,10275.79
2025-01-07T16:00:00+00:00,9864.43
2025-01-08T04:00:00+00:00,9469.53
2025-01-08T08:00:00+00:00,9090.45
2025-01-08T16:00:00+00:00,8726.54
2025-01-09T00:00:00+00:00,8377.2
2025-01-13T08:00:00+00:00,8846.05
2025-01-13T12:00:00+00:00,9341.15
2025-01-13T20:00:00+00:00,8967.2
2025-01-14T00:00:00+00:00,8608.23
2025-01-14T08:00:00+00:00,8263.62
2025-01-14T12:00:00+00:00,7932.82
2025-01-15T12:00:00+00:00,7615.25
2025-01-17T12:00:00+00:00,8041.46
2025-01-17T16:00:00+00:00,8491.52
2025-01-19T20:00:00+00:00,8151.59
2025-01-20T00:00:00+00:00,7825.27
2025-01-20T04:00:00+00:00,7512.01
2025-01-20T08:00:00+00:00,7211.28
2025-01-20T16:00:00+00:00,6922.6
2025-01-21T00:00:00+00:00,6645.48
2025-01-27T04:00:00+00:00,6379.45
2025-01-27T08:00:00+00:00,6736.49
2025-01-27T12:00:00+00:00,6466.81
2025-01-27T16:00:00+00:00,6207.94
2025-01-28T12:00:00+00:00,5959.42
2025-01-30T04:00:00+00:00,5720.85
2025-02-02T08:00:00+00:00,6041.04
2025-02-02T20:00:00+00:00,6379.14
2025-02-03T00:00:00+00:00,6736.17
2025-02-03T04:00:00+00:00,7113.18
2025-02-03T12:00:00+00:00,6828.42
2025-02-03T16:00:00+00:00,6555.07
2025-02-04T04:00:00+00:00,6292.66
2025-02-18T16:00:00+00:00,6644.84
2025-02-19T00:00:00+00:00,6378.84
2025-02-24T20:00:00+00:00,6735.85
2025-02-25T00:00:00+00:00,7112.84
2025-02-25T04:00:00+00:00,7510.93
2025-02-25T08:00:00+00:00,7931.3
2025-02-25T12:00:00+00:00,8375.2
2025-02-26T12:00:00+00:00,8843.95
2025-02-26T16:00:00+00:00,9338.92
2025-02-26T20:00:00+00:00,9861.6
2025-02-27T04:00:00+00:00,9466.82
2025-02-28T00:00:00+00:00,9996.66
2025-02-28T04:00:00+00:00,10556.16
2025-02-28T12:00:00+00:00,10133.57
2025-03-02T16:00:00+00:00,10700.73
2025-03-02T20:00:00+00:00,11299.63
2025-03-03T12:00:00+00:00,10847.28
2025-03-03T16:00:00+00:00,10413.04
2025-03-07T00:00:00+00:00,9996.19
2025-03-10T08:00:00+00:00,9596.02
2025-03-11T16:00:00+00:00,9211.87
2025-03-19T20:00:00+00:00,8843.1
2025-03-21T12:00:00+00:00,8489.1
2025-03-23T20:00:00+00:00,8964.21
2025-03-24T04:00:00+00:00,9465.92
2025-03-24T12:00:00+00:00,9995.71
2025-03-25T00:00:00+00:00,9595.56
2025-03-26T16:00:00+00:00,9211.43
2025-03-28T04:00:00+00:00,8842.68
2025-03-28T08:00:00+00:00,8488.69
2025-03-28T16:00:00+00:00,8148.87
2025-03-31T12:00:00+00:00,7822.66
2025-04-06T16:00:00+00:00,8163.76
2025-04-06T20:00:00+00:00,8620.67
2025-04-07T04:00:00+00:00,9103.15
2025-04-07T12:00:00+00:00,8738.73
2025-04-07T16:00:00+00:00,8388.9
2025-04-09T16:00:00+00:00,8053.08
2025-04-09T20:00:00+00:00,7730.7
2025-04-21T00:00:00+00:00,8163.37
2025-04-22T00:00:00+00:00,8620.26
2025-04-22T12:00:00+00:00,9102.71
2025-04-22T16:00:00+00:00,9612.18
2025-04-22T20:00:00+00:00,10150.15
2025-04-23T00:00:00+00:00,10718.23
2025-05-01T08:00:00+00:00,11318.11
2025-05-01T12:00:00+00:00,11951.56
2025-05-04T20:00:00+00:00,11473.12
2025-05-08T00:00:00+00:00,12115.25
2025-05-08T04:00:00+00:00,12793.31
2025-05-08T12:00:00+00:00,13509.33
2025-05-08T16:00:00+00:00,14265.42
2025-05-08T20:00:00+00:00,15063.82
2025-05-09T04:00:00+00:00,15906.92
2025-05-12T00:00:00+00:00,16797.2
2025-05-12T16:00:00+00:00,16124.77
2025-05-18T12:00:00+00:00,17027.24
2025-05-18T20:00:00+00:00,16345.61
2025-05-19T04:00:00+00:00,15691.26
2025-05-21T12:00:00+00:00,16569.47
2025-05-21T16:00:00+00:00,17496.83
2025-05-23T20:00:00+00:00,16796.39
2025-05-29T16:00:00+00:00,16124.0
2025-06-05T16:00:00+00:00,17026.43
2025-06-05T20:00:00+00:00,17979.36
2025-06-06T08:00:00+00:00,17259.61
2025-06-06T12:00:00+00:00,16568.68
2025-06-07T12:00:00+00:00,15905.4
2025-06-09T20:00:00+00:00,16795.59
2025-06-12T08:00:00+00:00,16123.23
2025-06-12T20:00:00+00:00,15477.79
2025-06-16T04:00:00+00:00,14858.18
2025-06-16T12:00:00+00:00,14263.38
2025-06-16T16:00:00+00:00,13692.39
2025-06-17T12:00:00+00:00,14458.72
2025-06-20T16:00:00+00:00,15267.95
2025-06-22T12:00:00+00:00,16122.46
2025-06-22T16:00:00+00:00,17024.81
2025-06-22T20:00:00+00:00,16343.27
2025-06-23T00:00:00+00:00,15689.02
2025-06-23T16:00:00+00:00,15060.95
2025-06-23T20:00:00+00:00,14458.03
2025-06-29T08:00:00+00:00,15088.47
2025-07-01T08:00:00+00:00,14484.44
2025-07-02T04:00:00+00:00,13904.6
2025-07-02T16:00:00+00:00,14682.82
2025-07-04T16:00:00+00:00,14095.03
