candle,equity
2026-01-01T00:00:00+00:00,10000.0
2026-01-01T04:00:00+00:00,10025.73
2026-01-01T08:00:00+00:00,9949.28
2026-01-02T00:00:00+00:00,9954.05
2026-01-02T04:00:00+00:00,9930.24
2026-01-02T08:00:00+00:00,10024.74
2026-01-02T12:00:00+00:00,10119.24
2026-01-02T16:00:00+00:00,10213.74
2026-01-02T20:00:00+00:00,10216.16
2026-01-03T04:00:00+00:00,10080.54
2026-01-03T08:00:00+00:00,10097.1
2026-01-03T12:00:00+00:00,10122.79
2026-01-03T16:00:00+00:00,10137.48
2026-01-03T20:00:00+00:00,10209.39
2026-01-04T00:00:00+00:00,10303.89
2026-01-04T04:00:00+00:00,10338.74
2026-01-04T08:00:00+00:00,10291.52
2026-01-04T12:00:00+00:00,10284.47
2026-01-04T16:00:00+00:00,10241.27
2026-01-04T20:00:00+00:00,10294.17
2026-01-05T00:00:00+00:00,10501.54
2026-01-05T04:00:00+00:00,10434.1
2026-01-05T08:00:00+00:00,10519.6
2026-01-05T12:00:00+00:00,10637.57
2026-01-05T16:00:00+00:00,10681.27
2026-01-05T20:00:00+00:00,10601.44
2026-01-06T00:00:00+00:00,10574.0
2026-01-06T04:00:00+00:00,10479.03
2026-01-06T08:00:00+00:00,10562.38
2026-01-06T12:00:00+00:00,10519.72
2026-01-06T16:00:00+00:00,10307.77
2026-01-06T20:00:00+00:00,10563.93
2026-01-07T00:00:00+00:00,10351.98
2026-01-07T04:00:00+00:00,10351.28
2026-01-07T08:00:00+00:00,10139.33
2026-01-07T12:00:00+00:00,10006.93
2026-01-07T16:00:00+00:00,9968.73
2026-01-07T20:00:00+00:00,9987.08
2026-01-08T00:00:00+00:00,9885.09
2026-01-08T04:00:00+00:00,9828.44
2026-01-08T08:00:00+00:00,9763.8
2026-01-08T12:00:00+00:00,9841.23
2026-01-08T16:00:00+00:00,9935.73
2026-01-08T20:00:00+00:00,9951.6
2026-01-09T00:00:00+00:00,9961.06
2026-01-09T04:00:00+00:00,9870.43
2026-01-09T08:00:00+00:00,9806.51
2026-01-09T12:00:00+00:00,9917.23
2026-01-09T16:00:00+00:00,9765.81
2026-01-09T20:00:00+00:00,9805.81
2026-01-10T00:00:00+00:00,9791.77
2026-01-10T04:00:00+00:00,9785.7
2026-01-10T08:00:00+00:00,9784.57
2026-01-10T12:00:00+00:00,9760.98
2026-01-10T16:00:00+00:00,9743.8
2026-01-10T20:00:00+00:00,9711.63
2026-01-11T00:00:00+00:00,9737.25
2026-01-11T04:00:00+00:00,9719.87
2026-01-11T08:00:00+00:00,9715.03
2026-01-11T12:00:00+00:00,9724.0
2026-01-11T16:00:00+00:00,9680.72
2026-01-11T20:00:00+00:00,9721.62
2026-01-12T00:00:00+00:00,9841.84
2026-01-12T04:00:00+00:00,9764.95
2026-01-12T08:00:00+00:00,9622.39
2026-01-12T12:00:00+00:00,9783.42
2026-01-12T16:00:00+00:00,9877.92
2026-01-12T20:00:00+00:00,9772.92
2026-01-13T00:00:00+00:00,9782.01
2026-01-13T04:00:00+00:00,9876.51
2026-01-13T08:00:00+00:00,9971.01
2026-01-13T12:00:00+00:00,10194.84
2026-01-13T16:00:00+00:00,10306.75
2026-01-13T20:00:00+00:00,10485.19
2026-01-14T00:00:00+00:00,10518.88
2026-01-14T04:00:00+00:00,10428.62
2026-01-14T08:00:00+00:00,10353.1
2026-01-14T12:00:00+00:00,10141.15
2026-01-14T16:00:00+00:00,10235.65
2026-01-14T20:00:00+00:00,10330.15
2026-01-15T00:00:00+00:00,10168.81
2026-01-15T04:00:00+00:00,10263.31
2026-01-15T08:00:00+00:00,10243.19
2026-01-15T12:00:00+00:00,10257.35
2026-01-15T16:00:00+00:00,10045.4
2026-01-15T20:00:00+00:00,10048.81
2026-01-16T00:00:00+00:00,9997.93
2026-01-16T04:00:00+00:00,10031.38
2026-01-16T08:00:00+00:00,9983.95
2026-01-16T12:00:00+00:00,9839.05
2026-01-16T16:00:00+00:00,9894.25
2026-01-16T20:00:00+00:00,9967.97
