entry_time,exit_time,side,entry_price,exit_price,sl,initial_tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,notional,leverage,entry_to_sl_pct,entry_to_tp_pct,actual_move_pct
2026-01-01T00:00:00+00:00,2026-01-01T04:00:00+00:00,SHORT,87824.6,87603.7,88995.3,87201.05,25.73,10025.73,TIME_EXIT,ACTIVE,20.0,neutral,1.0,15000.0,15.0,1.333,0.71,0.2515
2026-01-01T04:00:00+00:00,2026-01-01T08:00:00+00:00,SHORT,87603.7,87980.1,88771.46,86981.71,-76.45,9949.28,TIME_EXIT,ACTIVE,20.0,neutral,1.0,15000.0,15.0,1.333,0.71,-0.4297
2026-01-01T20:00:00+00:00,2026-01-02T00:00:00+00:00,LONG,88800.0,88899.3,87616.3,89430.48,4.77,9954.05,TIME_EXIT,ACTIVE,20.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1118
2026-01-02T00:00:00+00:00,2026-01-02T04:00:00+00:00,LONG,88899.3,88829.3,87714.27,89530.49,-23.81,9930.24,TIME_EXIT,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.0787
2026-01-02T04:00:00+00:00,2026-01-02T08:00:00+00:00,LONG,88829.3,89459.99,87645.21,89459.99,94.5,10024.74,TP,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-02T08:00:00+00:00,2026-01-02T12:00:00+00:00,LONG,89458.3,90093.45,88265.82,90093.45,94.5,10119.24,TP,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-02T12:00:00+00:00,2026-01-02T16:00:00+00:00,LONG,89373.1,90007.65,88181.76,90007.65,94.5,10213.74,TP,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-02T16:00:00+00:00,2026-01-02T20:00:00+00:00,LONG,89865.0,89951.4,88667.1,90503.04,2.42,10216.16,TIME_EXIT,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.0961
2026-01-03T00:00:00+00:00,2026-01-03T04:00:00+00:00,LONG,90279.9,89535.9,89076.47,90920.89,-135.62,10080.54,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.8241
2026-01-03T04:00:00+00:00,2026-01-03T08:00:00+00:00,LONG,89535.9,89706.4,88342.39,90171.6,16.56,10097.1,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1904
2026-01-03T08:00:00+00:00,2026-01-03T12:00:00+00:00,LONG,89706.4,89931.8,88510.61,90343.32,25.69,10122.79,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.2513
2026-01-03T12:00:00+00:00,2026-01-03T16:00:00+00:00,LONG,89931.8,90091.8,88733.01,90570.32,14.69,10137.48,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1779
2026-01-03T16:00:00+00:00,2026-01-03T20:00:00+00:00,LONG,90091.8,90595.8,88890.88,90731.45,71.91,10209.39,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.5594
2026-01-03T20:00:00+00:00,2026-01-04T00:00:00+00:00,LONG,90595.8,91239.03,89388.16,91239.03,94.5,10303.89,TP,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-04T00:00:00+00:00,2026-01-04T04:00:00+00:00,LONG,91192.7,91477.5,89977.1,91840.17,34.85,10338.74,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,0.3123
2026-01-04T04:00:00+00:00,2026-01-04T08:00:00+00:00,LONG,91477.5,91262.7,90258.1,92126.99,-47.22,10291.52,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2348
2026-01-04T08:00:00+00:00,2026-01-04T12:00:00+00:00,LONG,91262.7,91292.8,90046.17,91910.67,-7.05,10284.47,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,0.033
2026-01-04T12:00:00+00:00,2026-01-04T16:00:00+00:00,LONG,91292.8,91102.9,90075.87,91940.98,-43.2,10241.27,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.208
