candle,equity
2023-01-24T00:00:00+00:00,10000.0
2023-01-24T08:00:00+00:00,9788.05
2023-01-24T12:00:00+00:00,9576.1
2023-01-24T16:00:00+00:00,9670.6
2023-01-25T00:00:00+00:00,9458.65
2023-01-25T04:00:00+00:00,9395.94
2023-01-25T08:00:00+00:00,9490.44
2023-01-25T12:00:00+00:00,9278.49
2023-01-25T16:00:00+00:00,9168.57
2023-01-25T20:00:00+00:00,8956.62
2023-01-26T00:00:00+00:00,9199.2
2023-01-26T04:00:00+00:00,9122.61
2023-01-26T08:00:00+00:00,9017.22
2023-01-26T12:00:00+00:00,9111.72
2023-01-26T16:00:00+00:00,9150.62
2023-01-26T20:00:00+00:00,9245.12
2023-01-27T00:00:00+00:00,9033.17
2023-01-27T04:00:00+00:00,9064.34
2023-01-27T08:00:00+00:00,8852.39
2023-01-27T12:00:00+00:00,8749.81
2023-01-27T16:00:00+00:00,8922.14
2023-01-27T20:00:00+00:00,9016.64
2023-01-28T00:00:00+00:00,8915.79
2023-01-28T04:00:00+00:00,8849.37
2023-01-28T08:00:00+00:00,8749.35
2023-01-28T12:00:00+00:00,8750.66
2023-01-28T16:00:00+00:00,8777.64
2023-01-28T20:00:00+00:00,8772.94
2023-01-29T00:00:00+00:00,8867.44
2023-01-29T04:00:00+00:00,8975.69
2023-01-29T08:00:00+00:00,9118.93
2023-01-29T12:00:00+00:00,9315.31
2023-01-29T16:00:00+00:00,9602.03
2023-01-29T20:00:00+00:00,9728.79
2023-01-30T00:00:00+00:00,9516.84
2023-01-30T04:00:00+00:00,9446.58
2023-01-30T08:00:00+00:00,9234.63
2023-01-30T12:00:00+00:00,9022.68
2023-01-30T16:00:00+00:00,9200.17
2023-01-30T20:00:00+00:00,9420.3
2023-01-31T00:00:00+00:00,9379.99
2023-01-31T04:00:00+00:00,9270.84
2023-01-31T08:00:00+00:00,9238.99
2023-01-31T12:00:00+00:00,9131.51
2023-01-31T16:00:00+00:00,8919.56
2023-02-01T12:00:00+00:00,8969.52
2023-02-01T16:00:00+00:00,8757.57
2023-02-01T20:00:00+00:00,8545.62
2023-02-02T08:00:00+00:00,8517.78
2023-02-02T20:00:00+00:00,8305.83
2023-02-04T00:00:00+00:00,8272.85
2023-02-04T04:00:00+00:00,8367.35
2023-02-04T08:00:00+00:00,8343.52
2023-02-04T12:00:00+00:00,8268.68
2023-02-04T16:00:00+00:00,8212.95
2023-02-04T20:00:00+00:00,8263.4
2023-02-05T00:00:00+00:00,8357.9
2023-02-05T04:00:00+00:00,8310.91
2023-02-05T08:00:00+00:00,8292.04
2023-02-05T12:00:00+00:00,8461.5
2023-02-05T16:00:00+00:00,8747.9
2023-02-05T20:00:00+00:00,8843.07
2023-02-06T00:00:00+00:00,8829.5
2023-02-06T04:00:00+00:00,8924.0
2023-02-06T08:00:00+00:00,8922.35
2023-02-06T12:00:00+00:00,8800.51
2023-02-06T16:00:00+00:00,8690.09
2023-02-06T20:00:00+00:00,8862.2
2023-02-07T00:00:00+00:00,8956.7
2023-02-07T04:00:00+00:00,8847.21
2023-02-07T08:00:00+00:00,8769.96
2023-02-07T12:00:00+00:00,8762.41
2023-02-07T16:00:00+00:00,8550.46
2023-02-07T20:00:00+00:00,8338.51
2023-02-08T00:00:00+00:00,8126.56
2023-02-08T04:00:00+00:00,8119.21
2023-02-08T08:00:00+00:00,8170.3
2023-02-08T12:00:00+00:00,8393.7
2023-02-08T16:00:00+00:00,8566.66
2023-02-08T20:00:00+00:00,8493.32
2023-02-09T00:00:00+00:00,8714.64
2023-02-09T04:00:00+00:00,8890.31
2023-02-09T08:00:00+00:00,8767.83
2023-02-09T12:00:00+00:00,8798.78
2023-02-09T16:00:00+00:00,9216.79
2023-02-09T20:00:00+00:00,9742.57
2023-02-10T00:00:00+00:00,9873.44
2023-02-10T04:00:00+00:00,9967.94
2023-02-10T08:00:00+00:00,10018.44
2023-02-10T12:00:00+00:00,10179.64
2023-02-10T16:00:00+00:00,10274.14
2023-02-10T20:00:00+00:00,10368.64
2023-02-11T00:00:00+00:00,10463.14
2023-02-11T04:00:00+00:00,10407.22
2023-02-11T08:00:00+00:00,10381.1
2023-02-11T12:00:00+00:00,10337.9
2023-02-11T16:00:00+00:00,10351.21
2023-02-11T20:00:00+00:00,10253.39
2023-02-12T00:00:00+00:00,10158.61
2023-02-12T04:00:00+00:00,10189.92
2023-02-12T08:00:00+00:00,10105.24
2023-02-12T12:00:00+00:00,9994.65
2023-02-12T16:00:00+00:00,9910.32
2023-02-12T20:00:00+00:00,10007.96
2023-02-13T00:00:00+00:00,10120.28
2023-02-13T04:00:00+00:00,10048.96
2023-02-13T08:00:00+00:00,10178.01
2023-02-13T12:00:00+00:00,10374.57
2023-02-13T16:00:00+00:00,10469.07
2023-02-13T20:00:00+00:00,10308.9
2023-02-14T00:00:00+00:00,10231.61
2023-02-14T04:00:00+00:00,10223.96
2023-02-14T08:00:00+00:00,10137.9
2023-02-14T12:00:00+00:00,9925.95
2023-02-14T16:00:00+00:00,9714.0
2023-02-14T20:00:00+00:00,9597.09
2023-02-15T00:00:00+00:00,9691.59
2023-02-15T04:00:00+00:00,9740.36
2023-02-15T08:00:00+00:00,9528.41
2023-02-15T12:00:00+00:00,9316.46
2023-02-15T16:00:00+00:00,9104.51
2023-02-15T20:00:00+00:00,8892.56
2023-02-16T00:00:00+00:00,9801.0
2023-02-16T04:00:00+00:00,9972.83
2023-02-16T08:00:00+00:00,9863.22
2023-02-16T12:00:00+00:00,10130.99
2023-02-16T20:00:00+00:00,9919.04
2023-02-17T00:00:00+00:00,9707.09
2023-02-17T16:00:00+00:00,10157.9
2023-02-17T20:00:00+00:00,10425.68
2023-02-18T00:00:00+00:00,10520.18
2023-02-19T20:00:00+00:00,10308.23
2023-02-20T04:00:00+00:00,10151.46
2023-02-20T16:00:00+00:00,10128.98
2023-02-20T20:00:00+00:00,10060.03
2023-02-21T00:00:00+00:00,10154.53
2023-02-21T04:00:00+00:00,10249.03
