entry_time,exit_time,year,month,side,entry_price,exit_price,exit_type,sl_price,tp_price,pnl_usd,equity,gate,regime,fgi
2023-01-24T00:00:00+00:00,2023-01-24T08:00:00+00:00,2023,1,LONG,23078.2,22770.57,SL,22770.57,23242.06,-211.95,9788.05,ADVISORY,bull,52.0
2023-01-24T04:00:00+00:00,2023-01-24T12:00:00+00:00,2023,1,LONG,23052.3,22745.01,SL,22745.01,23215.97,-211.95,9576.1,ADVISORY,bull,52.0
2023-01-24T08:00:00+00:00,2023-01-24T16:00:00+00:00,2023,1,LONG,22912.0,23074.68,TP,22606.58,23074.68,94.5,9670.6,ADVISORY,bull,52.0
2023-01-24T16:00:00+00:00,2023-01-25T00:00:00+00:00,2023,1,LONG,23015.0,22708.21,SL,22708.21,23178.41,-211.95,9458.65,ADVISORY,bull,52.0
2023-01-24T20:00:00+00:00,2023-01-25T04:00:00+00:00,2023,1,SHORT,22627.4,22703.9,CLOSE,22929.02,22466.75,-62.71,9395.94,ADVISORY,bear,52.0
2023-01-25T00:00:00+00:00,2023-01-25T08:00:00+00:00,2023,1,SHORT,22641.0,22480.25,TP,22942.8,22480.25,94.5,9490.44,ADVISORY,bear,51.0
2023-01-25T04:00:00+00:00,2023-01-25T12:00:00+00:00,2023,1,LONG,22703.9,22401.26,SL,22401.26,22865.1,-211.95,9278.49,ADVISORY,bull,51.0
2023-01-25T08:00:00+00:00,2023-01-25T16:00:00+00:00,2023,1,SHORT,22595.9,22743.4,CLOSE,22897.1,22435.47,-109.92,9168.57,ADVISORY,neutral,51.0
2023-01-25T12:00:00+00:00,2023-01-25T20:00:00+00:00,2023,1,SHORT,22573.3,22874.2,SL,22874.2,22413.03,-211.95,8956.62,ADVISORY,neutral,51.0
2023-01-25T16:00:00+00:00,2023-01-26T00:00:00+00:00,2023,1,LONG,22743.4,23129.4,TP,22440.23,22904.88,242.58,9199.2,ADVISORY,bull,51.0
2023-01-25T20:00:00+00:00,2023-01-26T04:00:00+00:00,2023,1,LONG,23060.6,22961.3,CLOSE,22753.2,23224.33,-76.59,9122.61,ADVISORY,bull,51.0
2023-01-26T00:00:00+00:00,2023-01-26T08:00:00+00:00,2023,1,LONG,23129.4,22985.4,CLOSE,22821.09,23293.62,-105.39,9017.22,ADVISORY,bull,54.0
2023-01-26T04:00:00+00:00,2023-01-26T12:00:00+00:00,2023,1,LONG,22961.3,23124.33,TP,22655.23,23124.33,94.5,9111.72,ADVISORY,bull,54.0
2023-01-26T08:00:00+00:00,2023-01-26T16:00:00+00:00,2023,1,LONG,22985.4,23063.4,CLOSE,22679.0,23148.6,38.9,9150.62,ADVISORY,bull,54.0
2023-01-26T12:00:00+00:00,2023-01-26T20:00:00+00:00,2023,1,LONG,22947.3,23110.23,TP,22641.41,23110.23,94.5,9245.12,ADVISORY,bull,54.0
2023-01-26T16:00:00+00:00,2023-01-27T00:00:00+00:00,2023,1,LONG,23063.4,22755.96,SL,22755.96,23227.15,-211.95,9033.17,ADVISORY,bull,54.0
2023-01-26T20:00:00+00:00,2023-01-27T04:00:00+00:00,2023,1,LONG,23001.9,23068.1,CLOSE,22695.28,23165.21,31.17,9064.34,ADVISORY,bull,54.0
2023-01-27T00:00:00+00:00,2023-01-27T08:00:00+00:00,2023,1,SHORT,22762.2,23065.62,SL,23065.62,22600.59,-211.95,8852.39,ADVISORY,neutral,55.0
2023-01-27T04:00:00+00:00,2023-01-27T12:00:00+00:00,2023,1,LONG,23068.1,22928.8,CLOSE,22760.6,23231.88,-102.58,8749.81,ADVISORY,bull,55.0
2023-01-27T08:00:00+00:00,2023-01-27T16:00:00+00:00,2023,1,LONG,22964.5,23246.7,TP,22658.38,23127.55,172.33,8922.14,ADVISORY,bull,55.0
