candle,equity
2023-01-24T00:00:00+00:00,10000.0
2023-01-24T20:00:00+00:00,9799.84
2023-01-25T00:00:00+00:00,9603.69
2023-01-25T20:00:00+00:00,9411.46
2023-01-29T16:00:00+00:00,9674.83
2023-01-30T08:00:00+00:00,9481.18
2023-01-30T12:00:00+00:00,9291.4
2023-01-30T20:00:00+00:00,9105.43
2023-01-31T20:00:00+00:00,8923.17
2023-02-01T20:00:00+00:00,9172.88
2023-02-02T00:00:00+00:00,9429.57
2023-02-03T20:00:00+00:00,9240.83
2023-02-05T16:00:00+00:00,9055.86
2023-02-09T00:00:00+00:00,9309.28
2023-02-09T04:00:00+00:00,9569.8
2023-02-09T16:00:00+00:00,9837.6
2023-02-09T20:00:00+00:00,10112.89
2023-02-13T16:00:00+00:00,10395.89
2023-02-14T12:00:00+00:00,10187.81
2023-02-14T16:00:00+00:00,9983.89
2023-02-15T08:00:00+00:00,9784.05
2023-02-15T12:00:00+00:00,9588.21
2023-02-15T16:00:00+00:00,9396.29
2023-02-15T20:00:00+00:00,9208.22
2023-02-16T00:00:00+00:00,9023.91
2023-02-16T12:00:00+00:00,9220.65
2023-02-16T20:00:00+00:00,9036.09
2023-02-17T00:00:00+00:00,8855.22
2023-02-19T20:00:00+00:00,8677.97
2023-02-20T08:00:00+00:00,8504.28
2023-02-21T20:00:00+00:00,8334.05
2023-02-24T16:00:00+00:00,8567.28
2023-03-01T08:00:00+00:00,8395.79
2023-03-03T00:00:00+00:00,8630.74
2023-03-03T04:00:00+00:00,8457.99
2023-03-08T20:00:00+00:00,8642.39
2023-03-09T16:00:00+00:00,8884.24
2023-03-09T20:00:00+00:00,9132.86
2023-03-10T00:00:00+00:00,9388.43
2023-03-10T08:00:00+00:00,9651.15
2023-03-11T00:00:00+00:00,9457.98
2023-03-12T16:00:00+00:00,9268.67
2023-03-12T20:00:00+00:00,9083.14
2023-03-22T20:00:00+00:00,8901.34
2023-03-29T04:00:00+00:00,8723.17
2023-03-31T12:00:00+00:00,8548.56
2023-04-03T00:00:00+00:00,8377.46
2023-04-03T04:00:00+00:00,8209.77
2023-04-03T08:00:00+00:00,8439.52
2023-04-03T20:00:00+00:00,8270.59
2023-04-10T16:00:00+00:00,8502.03
2023-04-11T00:00:00+00:00,8739.96
2023-04-11T16:00:00+00:00,8984.53
2023-04-12T12:00:00+00:00,8804.7
2023-04-14T00:00:00+00:00,9051.09
2023-04-17T00:00:00+00:00,8869.92
2023-04-17T04:00:00+00:00,8692.38
