entry_time,exit_time,side,entry_price,exit_price,sl,tp,risk_usd,pnl_usd,equity,exit_type,gate,fgi,regime
2023-01-24T00:00:00+00:00,2023-01-24T20:00:00+00:00,LONG,23078.2,22512.82,22512.82,23869.73,200.0,-200.16,9799.84,SL,ADVISORY,52.0,bull
2023-01-24T16:00:00+00:00,2023-01-25T00:00:00+00:00,LONG,23015.0,22482.79,22482.79,23760.09,196.0,-196.15,9603.69,SL,ADVISORY,52.0,bull
2023-01-24T20:00:00+00:00,2023-01-25T20:00:00+00:00,SHORT,22627.4,23188.41,23188.41,21841.99,192.07,-192.23,9411.46,SL,ADVISORY,52.0,neutral
2023-01-25T20:00:00+00:00,2023-01-29T16:00:00+00:00,LONG,23060.6,23908.32,22455.09,23908.32,188.23,263.37,9674.83,TP,ADVISORY,51.0,bull
2023-01-29T12:00:00+00:00,2023-01-30T08:00:00+00:00,LONG,23522.7,23061.61,23061.61,24168.23,193.5,-193.65,9481.18,SL,ACTIVE,55.0,bull
2023-01-30T04:00:00+00:00,2023-01-30T12:00:00+00:00,LONG,23648.1,23193.27,23193.27,24284.87,189.62,-189.78,9291.4,SL,ACTIVE,61.0,bull
2023-01-30T08:00:00+00:00,2023-01-30T20:00:00+00:00,LONG,23075.2,22580.25,22580.25,23768.12,185.83,-185.98,9105.43,SL,ADVISORY,61.0,bull
2023-01-30T16:00:00+00:00,2023-01-31T20:00:00+00:00,SHORT,22783.7,23316.18,23316.18,22038.23,182.11,-182.25,8923.17,SL,ADVISORY,61.0,neutral
2023-01-31T16:00:00+00:00,2023-02-01T20:00:00+00:00,LONG,23154.6,23816.26,22681.99,23816.26,178.46,249.71,9172.88,TP,ACTIVE,51.0,bull
2023-02-01T16:00:00+00:00,2023-02-02T00:00:00+00:00,LONG,23379.9,24063.18,22891.84,24063.18,183.46,256.69,9429.57,TP,ACTIVE,56.0,bull
2023-02-01T20:00:00+00:00,2023-02-03T20:00:00+00:00,LONG,23730.0,23219.76,23219.76,24444.34,188.59,-188.74,9240.83,SL,ACTIVE,56.0,bull
