candle,equity
2024-01-01T00:00:00+00:00,10000.0
2024-01-01T16:00:00+00:00,9788.05
2024-01-02T00:00:00+00:00,9576.1
2024-01-02T08:00:00+00:00,9670.6
2024-01-02T16:00:00+00:00,9458.65
2024-01-03T00:00:00+00:00,9553.15
2024-01-03T08:00:00+00:00,9341.2
2024-01-03T16:00:00+00:00,9716.3
2024-01-05T00:00:00+00:00,9504.35
2024-01-08T00:00:00+00:00,9292.4
2024-01-08T16:00:00+00:00,10076.65
2024-01-09T00:00:00+00:00,9864.7
2024-01-09T12:00:00+00:00,9652.75
2024-01-09T20:00:00+00:00,9440.8
2024-01-15T00:00:00+00:00,9535.3
2024-01-15T12:00:00+00:00,9629.8
2024-01-15T20:00:00+00:00,9417.85
2024-01-16T08:00:00+00:00,9205.9
2024-01-16T20:00:00+00:00,8993.95
2024-01-17T12:00:00+00:00,9109.32
2024-01-18T12:00:00+00:00,9047.67
2024-01-18T20:00:00+00:00,9491.74
2024-01-19T12:00:00+00:00,9634.41
2024-01-19T20:00:00+00:00,9422.46
2024-01-20T20:00:00+00:00,9399.8
2024-01-21T20:00:00+00:00,9428.02
2024-01-22T04:00:00+00:00,9609.89
2024-01-22T12:00:00+00:00,9704.39
2024-01-22T20:00:00+00:00,10136.67
2024-01-23T04:00:00+00:00,9924.72
2024-01-23T12:00:00+00:00,10130.14
2024-01-23T20:00:00+00:00,9918.19
2024-01-24T04:00:00+00:00,10012.69
2024-01-24T16:00:00+00:00,10107.19
2024-01-25T16:00:00+00:00,10025.27
2024-01-26T08:00:00+00:00,9813.32
2024-01-26T16:00:00+00:00,9601.37
2024-01-27T08:00:00+00:00,9695.87
2024-01-27T20:00:00+00:00,9812.33
2024-01-28T04:00:00+00:00,9906.83
2024-01-28T16:00:00+00:00,9694.88
2024-01-29T00:00:00+00:00,9875.29
2024-01-29T12:00:00+00:00,9975.61
2024-01-29T20:00:00+00:00,10197.46
2024-01-30T12:00:00+00:00,10291.96
2024-01-30T20:00:00+00:00,10080.01
2024-01-31T08:00:00+00:00,9868.06
2024-01-31T16:00:00+00:00,10097.51
2024-02-01T00:00:00+00:00,9885.56
2024-02-01T12:00:00+00:00,9986.61
2024-02-01T20:00:00+00:00,10176.67
2024-02-02T16:00:00+00:00,10271.17
2024-02-03T00:00:00+00:00,10365.67
2024-02-04T00:00:00+00:00,10305.15
2024-02-04T20:00:00+00:00,10093.2
2024-02-05T04:00:00+00:00,10253.4
2024-02-05T12:00:00+00:00,10347.9
2024-02-06T00:00:00+00:00,10442.4
2024-02-06T12:00:00+00:00,10571.26
2024-02-07T12:00:00+00:00,10498.82
2024-02-07T20:00:00+00:00,10928.69
2024-02-08T08:00:00+00:00,11035.71
2024-02-08T16:00:00+00:00,11219.18
2024-02-09T00:00:00+00:00,11467.81
2024-02-09T08:00:00+00:00,11817.21
2024-02-09T16:00:00+00:00,11911.71
2024-02-10T08:00:00+00:00,11699.76
2024-02-10T16:00:00+00:00,11795.36
2024-02-11T00:00:00+00:00,12100.94
2024-02-12T00:00:00+00:00,11971.92
2024-02-12T12:00:00+00:00,12516.69
2024-02-12T20:00:00+00:00,12611.19
2024-02-13T12:00:00+00:00,12399.24
2024-02-13T20:00:00+00:00,12677.47
2024-02-14T08:00:00+00:00,13240.4
2024-02-15T00:00:00+00:00,13454.76
2024-02-15T08:00:00+00:00,13242.81
2024-02-15T16:00:00+00:00,13030.86
2024-02-16T08:00:00+00:00,13125.36
2024-02-17T08:00:00+00:00,12913.41
2024-02-17T16:00:00+00:00,12701.46
2024-02-18T00:00:00+00:00,12795.96
2024-02-18T08:00:00+00:00,12890.46
2024-02-18T20:00:00+00:00,12984.96
2024-02-19T08:00:00+00:00,13079.46
2024-02-20T00:00:00+00:00,12867.51
2024-02-20T08:00:00+00:00,13063.88
2024-02-20T16:00:00+00:00,12851.93
2024-02-21T12:00:00+00:00,12960.92
2024-02-21T20:00:00+00:00,12748.97
2024-02-22T12:00:00+00:00,12843.47
2024-02-22T20:00:00+00:00,12937.97
2024-02-23T04:00:00+00:00,13032.54
2024-02-23T20:00:00+00:00,13127.04
2024-02-24T16:00:00+00:00,12915.09
2024-02-26T12:00:00+00:00,12703.14
2024-02-26T20:00:00+00:00,13156.21
2024-02-27T04:00:00+00:00,13581.29
2024-02-27T12:00:00+00:00,13749.77
2024-02-27T20:00:00+00:00,13844.27
2024-02-28T04:00:00+00:00,14154.35
2024-02-28T12:00:00+00:00,14837.03
2024-02-28T20:00:00+00:00,14625.08
2024-03-03T08:00:00+00:00,14613.08
2024-03-03T16:00:00+00:00,14818.47
2024-03-04T00:00:00+00:00,14980.08
2024-03-04T08:00:00+00:00,15390.78
2024-03-04T16:00:00+00:00,15876.96
2024-03-05T00:00:00+00:00,16025.13
2024-03-05T08:00:00+00:00,15813.18
2024-03-10T08:00:00+00:00,15907.68
2024-03-10T20:00:00+00:00,15695.73
2024-03-11T04:00:00+00:00,16166.76
2024-03-11T12:00:00+00:00,16331.16
2024-03-11T20:00:00+00:00,16425.66
2024-03-12T12:00:00+00:00,16213.71
2024-03-12T20:00:00+00:00,16001.76
2024-03-13T08:00:00+00:00,16200.63
2024-03-14T04:00:00+00:00,16295.13
2024-03-14T12:00:00+00:00,16083.18
2024-03-26T16:00:00+00:00,15871.23
2024-03-27T04:00:00+00:00,15965.73
2024-03-27T12:00:00+00:00,15753.78
2024-03-28T04:00:00+00:00,15941.15
2024-03-28T12:00:00+00:00,16116.14
2024-03-29T00:00:00+00:00,15904.19
2024-03-29T12:00:00+00:00,15692.24
2024-03-30T20:00:00+00:00,15624.13
2024-03-31T04:00:00+00:00,15768.16
2024-03-31T16:00:00+00:00,15920.0
2024-04-01T04:00:00+00:00,15708.05
2024-04-01T12:00:00+00:00,15496.1
2024-04-01T20:00:00+00:00,15795.83
2024-04-02T04:00:00+00:00,15583.88
2024-04-02T20:00:00+00:00,15371.93
2024-04-03T04:00:00+00:00,15159.98
2024-04-03T12:00:00+00:00,15254.48
2024-04-04T04:00:00+00:00,15348.98
2024-04-04T12:00:00+00:00,15137.03
2024-04-05T12:00:00+00:00,14925.08
2024-04-08T16:00:00+00:00,14713.13
2024-04-09T04:00:00+00:00,14501.18
2024-04-11T00:00:00+00:00,14655.93
2024-04-11T16:00:00+00:00,14750.43
2024-04-12T00:00:00+00:00,14853.95
2024-04-12T12:00:00+00:00,14642.0
2024-04-13T16:00:00+00:00,15156.68
2024-04-23T12:00:00+00:00,15251.18
2024-04-24T00:00:00+00:00,15345.68
2024-04-24T20:00:00+00:00,15440.18
2024-04-25T16:00:00+00:00,15228.23
2024-04-26T04:00:00+00:00,15322.73
2024-04-26T12:00:00+00:00,15487.1
2024-04-27T00:00:00+00:00,15581.6
2024-04-28T00:00:00+00:00,15369.65
2024-04-28T08:00:00+00:00,15482.05
2024-04-28T20:00:00+00:00,15576.55
2024-04-29T04:00:00+00:00,15737.24
2024-04-29T12:00:00+00:00,15831.74
2024-04-29T20:00:00+00:00,15619.79
2024-04-30T04:00:00+00:00,15776.63
2024-04-30T12:00:00+00:00,16325.17
2024-04-30T20:00:00+00:00,16419.67
2024-05-01T04:00:00+00:00,17191.46
2024-05-05T00:00:00+00:00,17285.96
2024-05-05T20:00:00+00:00,17074.01
2024-05-06T12:00:00+00:00,16862.06
2024-05-09T12:00:00+00:00,16650.11
2024-05-10T12:00:00+00:00,16438.16
2024-05-13T04:00:00+00:00,16226.21
2024-05-13T12:00:00+00:00,16014.26
2024-05-14T00:00:00+00:00,16125.08
2024-05-14T08:00:00+00:00,16279.88
2024-05-14T16:00:00+00:00,16374.38
2024-05-15T08:00:00+00:00,16162.43
2024-05-15T16:00:00+00:00,15950.48
2024-05-16T00:00:00+00:00,16044.98
2024-05-16T08:00:00+00:00,16155.1
2024-05-16T16:00:00+00:00,15943.15
2024-05-17T00:00:00+00:00,16037.65
2024-05-17T08:00:00+00:00,16171.54
2024-05-17T16:00:00+00:00,16346.48
2024-05-18T16:00:00+00:00,16306.32
2024-05-19T08:00:00+00:00,16400.82
2024-05-19T16:00:00+00:00,16188.87
2024-05-20T00:00:00+00:00,16322.36
2024-05-20T08:00:00+00:00,16416.86
2024-05-20T16:00:00+00:00,17081.78
2024-05-21T00:00:00+00:00,17354.24
2024-05-21T12:00:00+00:00,17142.29
2024-05-21T20:00:00+00:00,17236.79
2024-05-22T16:00:00+00:00,17331.29
2024-05-23T12:00:00+00:00,17119.34
2024-05-25T08:00:00+00:00,17213.84
2024-05-26T08:00:00+00:00,17212.21
2024-05-26T20:00:00+00:00,17000.26
2024-05-27T12:00:00+00:00,17403.56
2024-05-27T20:00:00+00:00,17191.61
2024-05-28T12:00:00+00:00,17286.11
2024-05-29T08:00:00+00:00,17401.92
2024-05-29T16:00:00+00:00,17500.73
