entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,regime,holding_candles,equity
2024-01-01T00:00:00+00:00,2024-01-01T08:00:00+00:00,SHORT,42369.8,42727.6,-138.67,TIME_EXIT_LOSS,bear,1,9861.33
2024-01-01T08:00:00+00:00,2024-01-01T16:00:00+00:00,SHORT,42727.6,43297.16,-211.95,SL,bear,2,9649.38
2024-01-01T16:00:00+00:00,2024-01-02T00:00:00+00:00,SHORT,43556.2,44136.8,-211.95,SL,neutral,2,9437.43
2024-01-02T00:00:00+00:00,2024-01-02T08:00:00+00:00,LONG,45435.0,45918.88,147.75,TP,bull,2,9585.18
2024-01-02T08:00:00+00:00,2024-01-02T16:00:00+00:00,LONG,45486.8,44880.46,-211.95,SL,bull,2,9373.23
2024-01-02T16:00:00+00:00,2024-01-03T08:00:00+00:00,LONG,45073.2,44772.79,-111.98,HALF_RISK_SL,bull,4,9261.25
2024-01-03T08:00:00+00:00,2024-01-03T16:00:00+00:00,SHORT,43728.9,42600.4,375.1,TRAIL_TP,neutral,2,9636.35
2024-01-03T16:00:00+00:00,2024-01-04T00:00:00+00:00,SHORT,42600.4,43168.26,-211.95,SL,bear,2,9424.4
2024-01-04T00:00:00+00:00,2024-01-04T08:00:00+00:00,SHORT,43119.6,42660.38,147.75,TP,bear,2,9572.15
2024-01-04T08:00:00+00:00,2024-01-04T16:00:00+00:00,SHORT,43188.2,43763.9,-211.95,SL,bear,2,9360.2
2024-01-04T16:00:00+00:00,2024-01-05T00:00:00+00:00,LONG,43950.0,43364.15,-211.95,SL,bull,2,9148.25
2024-01-05T00:00:00+00:00,2024-01-05T08:00:00+00:00,SHORT,43469.1,44048.54,-211.95,SL,neutral,2,8936.3
2024-01-05T08:00:00+00:00,2024-01-05T16:00:00+00:00,SHORT,43769.9,43303.75,147.75,TP,neutral,2,9084.05
2024-01-05T16:00:00+00:00,2024-01-06T00:00:00+00:00,SHORT,43599.0,44180.17,-211.95,SL,neutral,2,8872.1
