model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
HESTON,2019-11-18T16:00:00+00:00,2019-11-19T08:00:00+00:00,SHORT,8211.8,8008.89,8380.89,8008.89,0.020591,0.024709,19426.12,2,464.46,10464.46,TP,ACTIVE,bear,1.0,4,2.4709,Low,1.5,1.8
HESTON,2019-11-19T04:00:00+00:00,2019-11-20T04:00:00+00:00,SHORT,8124.36,8117.89,8282.87,7934.15,0.01951,0.023412,20928.92,2,-0.08,10464.38,TIME_EXIT,ACTIVE,bear,1.0,6,0.0796,Low,1.5,1.8
HESTON,2019-11-20T00:00:00+00:00,2019-11-21T00:00:00+00:00,SHORT,8128.34,8121.7,8284.54,7940.9,0.019217,0.02306,20928.76,2,0.35,10464.73,TIME_EXIT,ACTIVE,bear,1.0,6,0.0817,Low,1.5,1.8
HESTON,2019-11-20T20:00:00+00:00,2019-11-21T08:00:00+00:00,SHORT,8094.05,7871.42,8244.0,7914.11,0.018526,0.022231,20929.46,2,558.93,11023.66,TRAIL_TP,ACTIVE,bear,1.0,3,2.7505,Low,1.5,1.8
HESTON,2019-11-21T04:00:00+00:00,2019-11-21T12:00:00+00:00,SHORT,8086.37,7625.58,8226.39,7918.35,0.017315,0.020779,22047.32,2,1238.7,12262.36,TRAIL_TP,ACTIVE,bear,1.0,2,5.6984,Low,1.5,1.8
HESTON,2019-11-21T08:00:00+00:00,2019-11-21T16:00:00+00:00,SHORT,7871.42,7625.71,8026.77,7685.0,0.019736,0.023683,24524.72,2,745.93,13008.29,TRAIL_TP,ACTIVE,bear,1.0,2,3.1215,Low,1.5,1.8
HESTON,2019-11-21T12:00:00+00:00,2019-11-22T04:00:00+00:00,SHORT,7625.58,7390.38,7821.58,7390.38,0.025704,0.030844,20243.6,2,608.2,13616.49,TP,ADVISORY,bear,1.0,4,3.0844,Low,1.5,1.8
HESTON,2019-11-22T00:00:00+00:00,2019-11-22T08:00:00+00:00,SHORT,7594.7,7097.18,7780.45,7371.81,0.024457,0.029349,22269.85,2,1441.06,15057.55,TRAIL_TP,ADVISORY,bear,1.0,2,6.5509,Low,1.5,1.8
HESTON,2019-11-22T04:00:00+00:00,2019-11-22T12:00:00+00:00,SHORT,7547.75,7114.87,7745.87,7310.01,0.026249,0.031499,22945.88,2,1297.64,16355.19,TRAIL_TP,ADVISORY,bear,1.0,2,5.7352,Low,1.5,1.8
HESTON,2019-12-03T04:00:00+00:00,2019-12-04T04:00:00+00:00,SHORT,7287.69,7127.59,7505.55,6997.21,0.029894,0.039859,10942.13,1,231.63,16586.82,TIME_EXIT,ADVISORY,bear,1.0,6,2.1969,Normal,1.5,2.0
