model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
GOLDEN,2026-01-01T20:00:00+00:00,2026-01-02T08:00:00+00:00,LONG,88800.0,89458.3,87616.3,89430.48,0.01333,0.0071,15000.0,15.0,99.2,10099.2,TRAIL_TP,ACTIVE,bull,1.0,3,0.7413,N/A,,
GOLDEN,2026-01-02T04:00:00+00:00,2026-01-02T12:00:00+00:00,LONG,88829.3,89459.99,87645.21,89459.99,0.01333,0.0071,15000.0,15.0,94.5,10193.7,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-02T08:00:00+00:00,2026-01-02T16:00:00+00:00,LONG,89458.3,90093.45,88265.82,90093.45,0.01333,0.0071,15000.0,15.0,94.5,10288.2,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-02T12:00:00+00:00,2026-01-02T20:00:00+00:00,LONG,89373.1,90007.65,88181.76,90007.65,0.01333,0.0071,15000.0,15.0,94.5,10382.7,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-02T16:00:00+00:00,2026-01-03T16:00:00+00:00,LONG,89865.0,90091.8,88667.1,90503.04,0.01333,0.0071,15000.0,15.0,25.86,10408.56,TIME_EXIT,ACTIVE,bull,1.0,6,0.2524,N/A,,
GOLDEN,2026-01-03T12:00:00+00:00,2026-01-03T20:00:00+00:00,LONG,89931.8,90595.8,88733.01,90570.32,0.01333,0.0071,15000.0,15.0,98.75,10507.31,TRAIL_TP,ACTIVE,bull,1.0,2,0.7383,N/A,,
GOLDEN,2026-01-03T16:00:00+00:00,2026-01-04T00:00:00+00:00,LONG,90091.8,91192.7,88890.88,90731.45,0.01333,0.0071,15000.0,15.0,171.3,10678.61,TRAIL_TP,ACTIVE,bull,1.0,2,1.222,N/A,,
GOLDEN,2026-01-03T20:00:00+00:00,2026-01-04T04:00:00+00:00,LONG,90595.8,91477.5,89388.16,91239.03,0.01333,0.0071,15000.0,15.0,133.98,10812.59,TRAIL_TP,ACTIVE,bull,1.0,2,0.9732,N/A,,
GOLDEN,2026-01-04T00:00:00+00:00,2026-01-05T00:00:00+00:00,LONG,91192.7,92835.2,89977.1,91840.17,0.01333,0.0071,15000.0,15.0,258.17,11070.76,TRAIL_TP,ACTIVE,bull,1.0,6,1.8011,N/A,,
GOLDEN,2026-01-04T20:00:00+00:00,2026-01-05T04:00:00+00:00,LONG,91497.1,92492.1,90277.44,92146.73,0.01333,0.0071,15000.0,15.0,151.12,11221.88,TRAIL_TP,ACTIVE,bull,1.0,2,1.0875,N/A,,
GOLDEN,2026-01-05T00:00:00+00:00,2026-01-05T12:00:00+00:00,LONG,92835.2,93899.9,91597.71,93494.33,0.01333,0.0071,15000.0,15.0,160.03,11381.91,TRAIL_TP,ACTIVE,bull,1.0,3,1.1469,N/A,,
GOLDEN,2026-01-05T08:00:00+00:00,2026-01-05T16:00:00+00:00,LONG,93093.3,94248.6,91852.37,93754.26,0.01333,0.0071,15000.0,15.0,174.15,11556.06,TRAIL_TP,ACTIVE,bull,1.0,2,1.241,N/A,,
GOLDEN,2026-01-05T12:00:00+00:00,2026-01-05T20:00:00+00:00,LONG,93899.9,94566.59,92648.21,94566.59,0.01333,0.0071,15000.0,15.0,94.5,11650.56,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-05T16:00:00+00:00,2026-01-06T16:00:00+00:00,LONG,94248.6,92992.27,92992.27,94917.77,0.01333,0.0071,15000.0,15.0,-211.95,11438.61,SL,ACTIVE,bull,1.0,6,-1.333,N/A,,
GOLDEN,2026-01-06T12:00:00+00:00,2026-01-06T20:00:00+00:00,LONG,93608.2,92360.4,92360.4,94272.82,0.01333,0.0071,15000.0,15.0,-211.95,11226.66,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-06T16:00:00+00:00,2026-01-07T00:00:00+00:00,LONG,92062.2,92778.2,90835.01,92715.84,0.01333,0.0071,15000.0,15.0,104.66,11331.32,TRAIL_TP,ACTIVE,bull,1.0,2,0.7777,N/A,,
GOLDEN,2026-01-06T20:00:00+00:00,2026-01-07T04:00:00+00:00,LONG,93708.0,92458.87,92458.87,94373.33,0.01333,0.0071,15000.0,15.0,-211.95,11119.37,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-07T00:00:00+00:00,2026-01-07T12:00:00+00:00,LONG,92778.2,91541.47,91541.47,93436.93,0.01333,0.0071,15000.0,15.0,-211.95,10907.42,SL,ACTIVE,bull,1.0,3,-1.333,N/A,,
