side,entry,sl,tp,initial_sl,entry_time,entry_idx,entry_atr,risk_usd,tp_extension_factor,trail_count,master_score,gate,regime,fgi,exit_time,exit_price,pnl_usd,equity,exit_type,holding_duration
SHORT,27221.5,27026.453816332516,26051.222897995092,27806.638551002452,2023-06-06T20:00:00+00:00,1203,390.0923673349691,200.0,1.5,2,-5,LEVEL6,bear,44.0,2023-06-10T04:00:00+00:00,26051.22,399.84,10399.84,TP,19
SHORT,29411.8,29411.8,28892.462677083455,29671.46866145827,2023-07-31T00:00:00+00:00,1528,173.1124409721815,207.99680000000004,1.5,1,-5,LEVEL6,bear,50.0,2023-08-01T00:00:00+00:00,28892.46,415.83,10815.67,TP,5
SHORT,25993.1,26679.540334505873,24620.21933098825,26679.540334505873,2023-08-18T12:00:00+00:00,1639,457.62688967058295,216.31334405120003,1.5,0,-6,LEVEL6,bear,37.0,2023-08-22T12:00:00+00:00,25923.0,21.92,10837.58,TIME_EXIT,24
SHORT,26044.4,26473.095299795215,25187.009400409574,26473.095299795215,2023-08-22T20:00:00+00:00,1665,285.79686653014255,216.7516859054974,1.5,0,-5,LEVEL6,bear,37.0,2023-08-23T16:00:00+00:00,26473.1,-216.93,10620.66,SL,4
SHORT,26134.3,26550.353933450933,25302.19213309813,26550.353933450933,2023-08-23T12:00:00+00:00,1669,277.3692889672897,212.41318416041298,1.5,0,-5,LEVEL6,bear,37.0,2023-08-23T20:00:00+00:00,26550.35,-212.58,10408.08,SL,1
SHORT,26087.7,26498.019431801466,25540.607424264712,26498.019431801466,2023-08-25T08:00:00+00:00,1680,273.546287867644,208.16152186625817,1.0,0,-5,LEVEL6,neutral,39.0,2023-08-29T08:00:00+00:00,25962.2,63.5,10471.58,TIME_EXIT,24
SHORT,25798.0,26325.054191717725,24919.576347137125,26325.054191717725,2023-09-01T12:00:00+00:00,1723,351.36946114515007,209.43155388525952,1.25,0,-6,LEVEL6,bear,40.0,2023-09-05T12:00:00+00:00,25747.9,19.74,10491.32,TIME_EXIT,24
SHORT,25747.4,26082.284003684294,25077.631992631414,26082.284003684294,2023-09-06T20:00:00+00:00,1755,223.25600245619552,209.82636017237246,1.5,0,-6,LEVEL6,bear,42.0,2023-09-07T20:00:00+00:00,26082.28,-209.99,10281.32,SL,5
SHORT,25867.1,26168.060329829,25265.179340341998,26168.060329829,2023-09-07T16:00:00+00:00,1760,200.64021988600038,205.62647574716223,1.5,0,-6,LEVEL6,bear,41.0,2023-09-08T00:00:00+00:00,26168.06,-205.79,10075.53,SL,1
SHORT,25828.9,26216.33522569362,25054.02954861276,26216.33522569362,2023-09-08T08:00:00+00:00,1764,258.2901504624133,201.51065620860703,1.5,0,-5,LEVEL6,bear,46.0,2023-09-11T12:00:00+00:00,25054.03,402.86,10478.39,TP,18
SHORT,25788.2,26218.59385842456,24927.412283150883,26218.59385842456,2023-09-12T00:00:00+00:00,1786,286.9292389497054,209.56785828645204,1.5,0,-5,LEVEL6,bear,30.0,2023-09-12T08:00:00+00:00,26218.59,-209.74,10268.66,SL,1
SHORT,25810.2,26251.508582822804,24927.582834354394,26251.508582822804,2023-09-12T04:00:00+00:00,1787,294.2057218818693,205.3731480349904,1.5,0,-6,LEVEL6,bear,30.0,2023-09-12T12:00:00+00:00,26251.51,-205.54,10063.12,SL,1
SHORT,26087.2,26562.440112621174,25136.71977475765,26562.440112621174,2023-09-12T08:00:00+00:00,1788,316.8267417474501,201.26239910392204,1.5,0,-7,LEVEL6,bear,30.0,2023-09-12T16:00:00+00:00,26562.44,-201.42,9861.7,SL,1
SHORT,26386.9,26829.22686471203,25797.13084705063,26829.22686471203,2023-09-15T16:00:00+00:00,1808,294.88457647468607,197.23393092345793,1.0,0,-5,LEVEL6,neutral,45.0,2023-09-18T08:00:00+00:00,26829.23,-197.39,9664.3,SL,15
SHORT,64839.8,67709.18058845564,59101.03882308873,67709.18058845564,2024-04-19T08:00:00+00:00,3108,1912.9203923037567,193.286096562094,1.5,0,-5,LEVEL6,bear,66.0,2024-04-23T08:00:00+00:00,66023.5,-79.89,9584.41,TIME_EXIT,24
SHORT,62031.9,64011.64079720549,58072.41840558904,64011.64079720549,2024-05-03T16:00:00+00:00,3194,1319.8271981369896,191.68828522593572,1.5,0,-5,LEVEL6,bear,48.0,2024-05-04T08:00:00+00:00,64011.64,-191.84,9392.57,SL,3
SHORT,63864.2,63864.2,61506.88640595684,65632.18519553237,2024-05-04T20:00:00+00:00,3201,1178.6567970215788,187.8514525088534,1.0,1,-5,LEVEL6,neutral,67.0,2024-05-08T20:00:00+00:00,61506.89,250.32,9642.89,TP,23
SHORT,66150.0,65768.572883611,63861.43730166602,67294.281349167,2024-06-20T08:00:00+00:00,3480,762.8542327779949,192.85781895251603,1.5,2,-5,LEVEL6,bear,60.0,2024-06-21T08:00:00+00:00,63861.44,385.56,10028.45,TP,5
SHORT,62016.8,62912.6239060693,60225.152187861415,62912.6239060693,2024-06-30T16:00:00+00:00,3542,597.2159373795291,200.5690459855134,1.5,0,-5,LEVEL6,bear,47.0,2024-07-01T00:00:00+00:00,62912.62,-200.73,9827.72,SL,1
