candle,equity
2024-01-01T00:00:00+00:00,10000.0
2024-01-01T16:00:00+00:00,9788.0
2024-01-02T00:00:00+00:00,9580.49
2024-01-02T08:00:00+00:00,9671.05
2024-01-02T16:00:00+00:00,9466.02
2024-01-03T00:00:00+00:00,9555.5
2024-01-03T08:00:00+00:00,9352.92
2024-01-03T16:00:00+00:00,9703.84
2024-01-05T00:00:00+00:00,9498.12
2024-01-08T00:00:00+00:00,9296.76
2024-01-08T16:00:00+00:00,10026.04
2024-01-09T00:00:00+00:00,9813.48
2024-01-09T12:00:00+00:00,9605.43
2024-01-09T20:00:00+00:00,9401.79
2024-01-15T00:00:00+00:00,9490.66
2024-01-15T12:00:00+00:00,9580.37
2024-01-15T20:00:00+00:00,9377.26
2024-01-16T08:00:00+00:00,9178.46
2024-01-16T20:00:00+00:00,8983.87
2024-01-17T12:00:00+00:00,9087.55
2024-01-18T12:00:00+00:00,9031.51
2024-01-18T20:00:00+00:00,9432.67
2024-01-19T12:00:00+00:00,9567.28
2024-01-19T20:00:00+00:00,9364.45
2024-01-20T20:00:00+00:00,9343.23
2024-01-21T20:00:00+00:00,9369.61
2024-01-22T04:00:00+00:00,9540.06
2024-01-22T12:00:00+00:00,9630.24
2024-01-22T20:00:00+00:00,10046.64
2024-01-23T04:00:00+00:00,9833.65
2024-01-23T12:00:00+00:00,10035.7
2024-01-23T20:00:00+00:00,9822.94
2024-01-24T04:00:00+00:00,9915.79
2024-01-24T16:00:00+00:00,10009.52
2024-01-25T16:00:00+00:00,9927.5
2024-01-26T08:00:00+00:00,9717.03
2024-01-26T16:00:00+00:00,9511.03
2024-01-27T08:00:00+00:00,9600.93
2024-01-27T20:00:00+00:00,9712.77
2024-01-28T04:00:00+00:00,9804.58
2024-01-28T16:00:00+00:00,9596.72
2024-01-29T00:00:00+00:00,9769.9
2024-01-29T12:00:00+00:00,9867.94
2024-01-29T20:00:00+00:00,10086.92
2024-01-30T12:00:00+00:00,10182.27
2024-01-30T20:00:00+00:00,9966.4
2024-01-31T08:00:00+00:00,9755.11
2024-01-31T16:00:00+00:00,9979.0
2024-02-01T00:00:00+00:00,9767.44
2024-02-01T12:00:00+00:00,9866.16
2024-02-01T20:00:00+00:00,10053.72
2024-02-02T16:00:00+00:00,10148.75
2024-02-03T00:00:00+00:00,10244.68
2024-02-04T00:00:00+00:00,10182.66
2024-02-04T20:00:00+00:00,9966.78
2024-02-05T04:00:00+00:00,10126.49
2024-02-05T12:00:00+00:00,10222.21
2024-02-06T00:00:00+00:00,10318.83
2024-02-06T12:00:00+00:00,10451.83
2024-02-07T12:00:00+00:00,10376.1
2024-02-07T20:00:00+00:00,10822.25
2024-02-08T08:00:00+00:00,10938.09
2024-02-08T16:00:00+00:00,11138.82
2024-02-09T00:00:00+00:00,11415.83
2024-02-09T08:00:00+00:00,11814.79
2024-02-09T16:00:00+00:00,11926.47
2024-02-10T08:00:00+00:00,11673.63
2024-02-10T16:00:00+00:00,11785.26
2024-02-11T00:00:00+00:00,12145.48
2024-02-12T00:00:00+00:00,11988.74
2024-02-12T12:00:00+00:00,12642.01
2024-02-12T20:00:00+00:00,12761.51
2024-02-13T12:00:00+00:00,12490.96
2024-02-13T20:00:00+00:00,12838.58
2024-02-14T08:00:00+00:00,13561.48
2024-02-15T00:00:00+00:00,13852.26
2024-02-15T08:00:00+00:00,13558.59
2024-02-15T16:00:00+00:00,13271.14
2024-02-16T08:00:00+00:00,13396.58
2024-02-17T08:00:00+00:00,13112.57
2024-02-17T16:00:00+00:00,12834.58
2024-02-18T00:00:00+00:00,12955.9
2024-02-18T08:00:00+00:00,13078.36
2024-02-18T20:00:00+00:00,13201.98
2024-02-19T08:00:00+00:00,13326.77
2024-02-20T00:00:00+00:00,13044.24
2024-02-20T08:00:00+00:00,13300.45
2024-02-20T16:00:00+00:00,13018.48
2024-02-21T12:00:00+00:00,13160.4
2024-02-21T20:00:00+00:00,12881.4
2024-02-22T12:00:00+00:00,13003.16
2024-02-22T20:00:00+00:00,13126.07
2024-02-23T04:00:00+00:00,13250.24
2024-02-23T20:00:00+00:00,13375.49
2024-02-24T16:00:00+00:00,13091.93
2024-02-26T12:00:00+00:00,12814.38
2024-02-26T20:00:00+00:00,13395.11
2024-02-27T04:00:00+00:00,13964.65
2024-02-27T12:00:00+00:00,14199.99
2024-02-27T20:00:00+00:00,14334.21
2024-02-28T04:00:00+00:00,14778.79
2024-02-28T12:00:00+00:00,15787.96
2024-02-28T20:00:00+00:00,15453.25
2024-03-03T08:00:00+00:00,15434.7
2024-03-03T16:00:00+00:00,15751.79
2024-03-04T00:00:00+00:00,16006.41
2024-03-04T08:00:00+00:00,16663.96
2024-03-04T16:00:00+00:00,17474.33
2024-03-05T00:00:00+00:00,17733.32
2024-03-05T08:00:00+00:00,17357.37
2024-03-10T08:00:00+00:00,17521.44
2024-03-10T20:00:00+00:00,17149.98
2024-03-11T04:00:00+00:00,17958.0
2024-03-11T12:00:00+00:00,18253.31
2024-03-11T20:00:00+00:00,18425.85
