entry_time,exit_time,side,entry_price,exit_price,pnl_usd,equity,exit_type,gate,regime,notional,holding_candles,actual_move_pct
2024-01-01T00:00:00+00:00,2024-01-01T16:00:00+00:00,SHORT,42369.8,42934.59,-212.0,9788.0,SL,ACTIVE,bear,15003.75,4,-1.333
2024-01-01T16:00:00+00:00,2024-01-02T00:00:00+00:00,SHORT,43556.2,44136.8,-207.51,9580.49,SL,ACTIVE,neutral,14685.67,2,-1.333
2024-01-02T00:00:00+00:00,2024-01-02T08:00:00+00:00,LONG,45435.0,45757.59,90.56,9671.05,TP,ACTIVE,bull,14374.33,2,0.71
2024-01-02T08:00:00+00:00,2024-01-02T16:00:00+00:00,LONG,45486.8,44880.46,-205.03,9466.02,SL,ACTIVE,bull,14510.2,2,-1.333
2024-01-02T16:00:00+00:00,2024-01-03T00:00:00+00:00,LONG,45073.2,45393.22,89.48,9555.5,TP,ACTIVE,bull,14202.58,2,0.71
2024-01-03T00:00:00+00:00,2024-01-03T08:00:00+00:00,LONG,45297.8,44693.98,-202.58,9352.92,SL,ACTIVE,bull,14336.83,2,-1.333
2024-01-03T08:00:00+00:00,2024-01-03T16:00:00+00:00,SHORT,43728.9,42600.4,350.92,9703.84,TRAIL_TP,ADVISORY,neutral,14032.89,2,2.5807
2024-01-04T16:00:00+00:00,2024-01-05T00:00:00+00:00,LONG,43950.0,43364.15,-205.72,9498.12,SL,ADVISORY,bull,14559.4,2,-1.333
2024-01-07T16:00:00+00:00,2024-01-08T00:00:00+00:00,LONG,44238.8,43649.1,-201.36,9296.76,SL,ACTIVE,bull,14250.74,2,-1.333
2024-01-08T08:00:00+00:00,2024-01-08T16:00:00+00:00,LONG,44637.2,47006.7,729.28,10026.04,TRAIL_TP,ADVISORY,bull,13948.63,2,5.3084
2024-01-08T16:00:00+00:00,2024-01-09T00:00:00+00:00,LONG,47006.7,46380.1,-212.56,9813.48,SL,ADVISORY,bull,15042.82,2,-1.333
2024-01-09T00:00:00+00:00,2024-01-09T12:00:00+00:00,LONG,46932.8,46307.19,-208.05,9605.43,SL,ADVISORY,bull,14723.9,3,-1.333
2024-01-09T12:00:00+00:00,2024-01-09T20:00:00+00:00,LONG,46868.8,46244.04,-203.64,9401.79,SL,ADVISORY,bull,14411.75,2,-1.333
2024-01-14T16:00:00+00:00,2024-01-15T00:00:00+00:00,SHORT,42665.8,42362.87,88.87,9490.66,TP,ADVISORY,bear,14106.21,2,0.71
2024-01-15T00:00:00+00:00,2024-01-15T12:00:00+00:00,SHORT,42571.8,42269.54,89.71,9580.37,TP,ADVISORY,bear,14239.55,3,0.71
2024-01-15T12:00:00+00:00,2024-01-15T20:00:00+00:00,SHORT,42278.7,42842.28,-203.11,9377.26,SL,ADVISORY,bear,14374.15,2,-1.333
2024-01-15T20:00:00+00:00,2024-01-16T08:00:00+00:00,SHORT,42515.0,43081.72,-198.8,9178.46,SL,ADVISORY,bear,14069.41,3,-1.333
2024-01-16T08:00:00+00:00,2024-01-16T20:00:00+00:00,SHORT,42894.9,43466.69,-194.59,8983.87,SL,ADVISORY,bear,13771.13,3,-1.333
2024-01-17T00:00:00+00:00,2024-01-17T12:00:00+00:00,SHORT,42842.1,42478.3,103.68,9087.55,TRAIL_TP,ADVISORY,bear,13479.17,3,0.8492
2024-01-17T12:00:00+00:00,2024-01-18T12:00:00+00:00,SHORT,42478.3,42618.9,-56.04,9031.51,TIME_EXIT,ADVISORY,bear,13634.73,6,-0.331
2024-01-18T12:00:00+00:00,2024-01-18T20:00:00+00:00,SHORT,42618.9,41323.1,401.16,9432.67,TRAIL_TP,ACTIVE,bear,13550.65,2,3.0404
2024-01-18T20:00:00+00:00,2024-01-19T12:00:00+00:00,SHORT,41323.1,40897.0,134.61,9567.28,TRAIL_TP,ADVISORY,bear,14152.54,4,1.0311
2024-01-19T12:00:00+00:00,2024-01-19T20:00:00+00:00,SHORT,40897.0,41442.16,-202.83,9364.45,SL,ADVISORY,bear,14354.51,2,-1.333
2024-01-19T20:00:00+00:00,2024-01-20T20:00:00+00:00,SHORT,41662.2,41691.8,-21.22,9343.23,TIME_EXIT,ADVISORY,bear,14050.19,6,-0.071
2024-01-20T20:00:00+00:00,2024-01-21T20:00:00+00:00,SHORT,41691.8,41580.0,26.38,9369.61,TIME_EXIT,ACTIVE,bear,14018.35,6,0.2682
2024-01-21T20:00:00+00:00,2024-01-22T04:00:00+00:00,SHORT,41580.0,41042.6,170.45,9540.06,TRAIL_TP,ACTIVE,bear,14057.93,2,1.2924
