candle,equity
2024-01-01T00:00:00+00:00,10000.0
2024-01-01T16:00:00+00:00,9788.0
2024-01-02T00:00:00+00:00,9580.49
2024-01-02T08:00:00+00:00,9671.05
2024-01-02T16:00:00+00:00,9466.02
2024-01-03T00:00:00+00:00,9555.5
2024-01-03T08:00:00+00:00,9352.92
2024-01-07T16:00:00+00:00,9441.33
2024-01-08T00:00:00+00:00,9241.17
2024-01-18T08:00:00+00:00,9328.52
2024-01-18T16:00:00+00:00,9819.33
2024-01-21T08:00:00+00:00,9758.9
2024-01-22T00:00:00+00:00,9930.14
2024-01-22T08:00:00+00:00,10059.33
2024-01-22T16:00:00+00:00,10415.94
2024-01-23T00:00:00+00:00,10514.4
2024-01-23T08:00:00+00:00,10955.33
2024-01-25T16:00:00+00:00,11058.88
2024-01-26T08:00:00+00:00,10824.43
2024-01-26T16:00:00+00:00,10594.95
2024-01-27T08:00:00+00:00,10695.1
2024-01-27T20:00:00+00:00,10819.69
2024-01-28T04:00:00+00:00,10921.96
2024-01-28T16:00:00+00:00,10690.41
2024-01-29T00:00:00+00:00,10883.32
2024-01-29T12:00:00+00:00,10992.53
2024-01-29T20:00:00+00:00,11236.46
2024-01-30T12:00:00+00:00,11342.67
2024-01-30T20:00:00+00:00,11102.2
2024-01-31T08:00:00+00:00,10866.83
2024-01-31T16:00:00+00:00,11116.23
2024-02-01T00:00:00+00:00,10880.56
2024-02-01T12:00:00+00:00,10990.53
2024-02-01T20:00:00+00:00,11199.47
2024-02-02T16:00:00+00:00,11305.33
2024-02-03T00:00:00+00:00,11412.19
2024-02-04T00:00:00+00:00,11343.1
2024-02-04T20:00:00+00:00,11102.62
2024-02-05T04:00:00+00:00,11280.53
2024-02-05T12:00:00+00:00,11387.16
2024-02-06T00:00:00+00:00,11494.8
2024-02-06T12:00:00+00:00,11642.96
2024-02-07T12:00:00+00:00,11558.6
2024-02-07T20:00:00+00:00,12055.6
2024-02-08T08:00:00+00:00,12184.65
2024-02-08T16:00:00+00:00,12408.25
2024-02-09T00:00:00+00:00,12716.83
2024-02-09T08:00:00+00:00,13161.26
2024-02-09T16:00:00+00:00,13285.67
2024-02-10T08:00:00+00:00,13004.01
2024-02-10T16:00:00+00:00,13128.37
2024-02-11T00:00:00+00:00,13529.64
2024-02-12T00:00:00+00:00,13355.04
2024-02-12T12:00:00+00:00,14082.76
2024-02-12T20:00:00+00:00,14215.88
2024-02-13T12:00:00+00:00,13914.5
2024-02-17T12:00:00+00:00,13619.51
2024-02-17T20:00:00+00:00,13869.94
2024-02-18T08:00:00+00:00,14001.04
2024-02-18T20:00:00+00:00,14133.38
2024-02-19T16:00:00+00:00,14266.97
2024-02-20T08:00:00+00:00,14445.61
2024-02-20T16:00:00+00:00,14139.36
2024-02-21T04:00:00+00:00,14338.64
2024-02-21T12:00:00+00:00,14494.95
2024-02-21T20:00:00+00:00,14187.65
2024-02-22T04:00:00+00:00,14321.76
2024-02-22T12:00:00+00:00,14457.13
2024-02-22T20:00:00+00:00,14593.78
2024-02-23T04:00:00+00:00,14731.83
2024-02-23T20:00:00+00:00,14871.08
2024-02-24T16:00:00+00:00,14555.81
2024-02-25T16:00:00+00:00,14488.39
2024-02-26T04:00:00+00:00,14630.96
2024-02-26T12:00:00+00:00,14320.78
2024-02-26T20:00:00+00:00,14969.78
2024-02-27T04:00:00+00:00,15606.28
2024-02-27T16:00:00+00:00,15922.46
2024-03-31T04:00:00+00:00,16072.96
2024-03-31T16:00:00+00:00,16317.08
2024-04-01T04:00:00+00:00,15971.15
2024-04-01T12:00:00+00:00,15632.56
2024-04-01T20:00:00+00:00,16101.23
2024-04-02T04:00:00+00:00,15759.88
2024-04-07T16:00:00+00:00,15425.77
2024-04-08T04:00:00+00:00,15098.74
2024-04-08T12:00:00+00:00,14778.64
2024-04-09T08:00:00+00:00,14918.33
2024-04-24T12:00:00+00:00,15504.72
2024-04-26T12:00:00+00:00,15759.64
2024-04-27T04:00:00+00:00,16039.12
2024-04-28T00:00:00+00:00,15699.09
2024-04-28T08:00:00+00:00,15875.6
2024-04-28T20:00:00+00:00,16025.66
2024-04-29T04:00:00+00:00,16283.24
2024-04-29T12:00:00+00:00,16437.16
2024-04-29T20:00:00+00:00,16088.69
2024-04-30T04:00:00+00:00,16341.08
2024-04-30T12:00:00+00:00,17237.68
2024-05-10T16:00:00+00:00,16872.24
2024-05-12T12:00:00+00:00,17031.72
2024-05-13T04:00:00+00:00,17386.16
2024-05-13T12:00:00+00:00,17017.57
2024-05-14T00:00:00+00:00,17206.21
2024-05-14T08:00:00+00:00,17472.63
2024-05-14T16:00:00+00:00,17637.79
2024-05-15T08:00:00+00:00,17263.86
2024-05-15T16:00:00+00:00,16897.86
2024-05-16T12:00:00+00:00,17057.58
2024-05-17T04:00:00+00:00,17251.22
2024-05-17T12:00:00+00:00,17550.16
2024-05-18T12:00:00+00:00,17376.76
2024-05-19T00:00:00+00:00,17541.01
2024-05-19T08:00:00+00:00,17706.81
2024-05-19T16:00:00+00:00,17331.42
