candle,equity
2024-01-01T00:00:00+00:00,10000.0
2024-01-01T16:00:00+00:00,9799.84
2024-01-01T20:00:00+00:00,9603.69
2024-01-02T00:00:00+00:00,9411.46
2024-01-02T20:00:00+00:00,9223.08
2024-01-03T08:00:00+00:00,9038.47
2024-01-05T00:00:00+00:00,8857.56
2024-01-08T16:00:00+00:00,9192.23
2024-01-08T20:00:00+00:00,9539.55
2024-01-09T12:00:00+00:00,9348.61
2024-01-09T20:00:00+00:00,9161.48
2024-01-10T08:00:00+00:00,8978.11
2024-01-15T04:00:00+00:00,8977.96
2024-01-19T08:00:00+00:00,9133.07
2024-01-19T20:00:00+00:00,8950.27
2024-01-22T16:00:00+00:00,9288.44
2024-01-23T08:00:00+00:00,9639.4
2024-01-23T20:00:00+00:00,9639.24
2024-01-24T00:00:00+00:00,9446.3
2024-01-26T08:00:00+00:00,9257.23
2024-01-26T12:00:00+00:00,9071.93
2024-01-28T04:00:00+00:00,8890.35
2024-01-30T00:00:00+00:00,9226.26
2024-01-31T08:00:00+00:00,9041.59
2024-02-04T20:00:00+00:00,9041.44
2024-02-05T12:00:00+00:00,9041.3
2024-02-05T16:00:00+00:00,8860.33
2024-02-07T20:00:00+00:00,9195.11
2024-02-08T08:00:00+00:00,9542.54
2024-02-09T00:00:00+00:00,9903.09
2024-02-09T08:00:00+00:00,10277.27
2024-02-09T16:00:00+00:00,10665.59
2024-02-12T12:00:00+00:00,11068.57
2024-02-12T16:00:00+00:00,11486.79
2024-02-13T12:00:00+00:00,11256.87
2024-02-13T16:00:00+00:00,11031.55
2024-02-14T08:00:00+00:00,11448.37
2024-02-14T12:00:00+00:00,11880.93
2024-02-18T08:00:00+00:00,11929.5
2024-02-20T16:00:00+00:00,11690.72
2024-02-21T20:00:00+00:00,11690.54
2024-02-25T16:00:00+00:00,11558.42
2024-02-26T12:00:00+00:00,11327.06
2024-02-27T00:00:00+00:00,11755.05
2024-02-27T04:00:00+00:00,12199.2
2024-02-28T04:00:00+00:00,12660.13
2024-02-28T08:00:00+00:00,13018.9
2024-02-28T12:00:00+00:00,13387.83
2024-02-28T16:00:00+00:00,13454.6
2024-02-29T16:00:00+00:00,13454.44
2024-03-04T08:00:00+00:00,13962.8
2024-03-04T16:00:00+00:00,14358.48
2024-03-05T04:00:00+00:00,14358.31
2024-03-05T08:00:00+00:00,14142.76
2024-03-11T00:00:00+00:00,13859.68
2024-03-11T08:00:00+00:00,14383.36
2024-03-12T16:00:00+00:00,14167.43
2024-03-14T16:00:00+00:00,13954.75
2024-03-27T12:00:00+00:00,13745.26
2024-04-01T08:00:00+00:00,13579.34
2024-04-02T00:00:00+00:00,13579.12
2024-04-02T04:00:00+00:00,13307.32
2024-04-03T12:00:00+00:00,13040.96
2024-04-04T16:00:00+00:00,12779.93
2024-04-06T20:00:00+00:00,12524.13
2024-04-09T04:00:00+00:00,12273.45
2024-04-12T16:00:00+00:00,12027.78
2024-04-13T16:00:00+00:00,12330.69
2024-04-24T12:00:00+00:00,12083.88
2024-04-27T00:00:00+00:00,12388.2
2024-04-29T04:00:00+00:00,12700.18
2024-04-29T20:00:00+00:00,12445.97
2024-04-30T00:00:00+00:00,12196.86
2024-04-30T08:00:00+00:00,12504.02
2024-04-30T12:00:00+00:00,12976.47
2024-05-01T04:00:00+00:00,13466.78
2024-05-01T08:00:00+00:00,13975.61
2024-05-06T08:00:00+00:00,13695.87
2024-05-06T12:00:00+00:00,13421.73
2024-05-07T20:00:00+00:00,13153.08
2024-05-09T20:00:00+00:00,12889.81
2024-05-10T12:00:00+00:00,12631.81
2024-05-13T08:00:00+00:00,12378.97
2024-05-15T12:00:00+00:00,12131.19
2024-05-15T16:00:00+00:00,11888.38
2024-05-19T16:00:00+00:00,11888.19
2024-05-20T16:00:00+00:00,12337.37
2024-05-20T20:00:00+00:00,12803.52
2024-05-21T12:00:00+00:00,12803.32
2024-05-21T16:00:00+00:00,12547.05
2024-05-23T12:00:00+00:00,12295.91
2024-05-23T16:00:00+00:00,12049.79
2024-05-27T16:00:00+00:00,12049.6
2024-05-28T00:00:00+00:00,11808.41
