entry_time,exit_time,side,entry_price,exit_price,initial_sl,sl,tp,risk_usd,pnl_usd,equity,exit_type,gate,fgi,regime,trail_count,final_sl,tp_extension_factor,holding_duration
2024-01-01T00:00:00+00:00,2024-01-01T16:00:00+00:00,SHORT,42369.8,43150.83,43150.83,43150.83,40893.65,200.0,-200.16,9799.84,SL,ACTIVE,65.0,bear,0,43150.83,1.5,3
2024-01-01T12:00:00+00:00,2024-01-01T20:00:00+00:00,SHORT,42818.0,43533.8,43533.8,43533.8,41916.09,196.0,-196.15,9603.69,SL,ACTIVE,65.0,neutral,0,43533.8,1.0,1
2024-01-01T16:00:00+00:00,2024-01-02T00:00:00+00:00,SHORT,43556.2,44317.31,44317.31,44317.31,42597.2,192.07,-192.23,9411.46,SL,ACTIVE,65.0,neutral,0,44317.31,1.0,1
2024-01-02T04:00:00+00:00,2024-01-02T20:00:00+00:00,LONG,45495.5,44599.96,44599.96,44599.96,47188.07,188.23,-188.38,9223.08,SL,ACTIVE,71.0,bull,0,44599.96,1.5,3
2024-01-02T16:00:00+00:00,2024-01-03T08:00:00+00:00,LONG,45073.2,44123.22,44123.22,44123.22,46868.67,184.46,-184.61,9038.47,SL,ACTIVE,71.0,bull,0,44123.22,1.5,3
2024-01-04T16:00:00+00:00,2024-01-05T00:00:00+00:00,LONG,43950.0,42636.45,42636.45,42636.45,46432.62,180.77,-180.91,8857.56,SL,ADVISORY,68.0,bull,0,42636.45,1.5,1
2024-01-04T20:00:00+00:00,2024-01-08T16:00:00+00:00,LONG,44143.8,46642.19,42821.9,42821.9,46642.19,177.15,334.67,9192.23,TP,ADVISORY,68.0,bull,0,42821.9,1.5,22
2024-01-08T12:00:00+00:00,2024-01-08T20:00:00+00:00,LONG,44969.6,47076.08,43855.06,45341.11,47076.08,183.84,347.32,9539.55,TP,ADVISORY,71.0,bull,1,45341.11,1.5,1
2024-01-08T16:00:00+00:00,2024-01-09T12:00:00+00:00,LONG,47006.7,45570.31,45570.31,45570.31,48769.54,190.79,-190.94,9348.61,SL,ADVISORY,71.0,bull,0,45570.31,1.25,4
2024-01-09T08:00:00+00:00,2024-01-09T20:00:00+00:00,LONG,46624.4,45428.87,45428.87,45428.87,48883.94,186.97,-187.12,9161.48,SL,ADVISORY,76.0,bull,0,45428.87,1.5,2
2024-01-09T16:00:00+00:00,2024-01-10T08:00:00+00:00,LONG,46873.5,45622.42,45622.42,45622.42,49238.03,183.23,-183.38,8978.11,SL,ADVISORY,76.0,bull,0,45622.42,1.5,3
2024-01-14T16:00:00+00:00,2024-01-15T04:00:00+00:00,SHORT,42665.8,42665.8,43905.67,42665.8,40322.44,179.56,-0.14,8977.96,TRAIL_SL,ADVISORY,60.0,bear,1,42665.8,1.5,2
2024-01-15T00:00:00+00:00,2024-01-19T08:00:00+00:00,SHORT,42571.8,41471.7,43844.14,42571.8,40167.08,179.56,155.11,9133.07,TIME_EXIT,ADVISORY,52.0,bear,1,42571.8,1.5,26
2024-01-19T12:00:00+00:00,2024-01-19T20:00:00+00:00,SHORT,40897.0,41863.68,41863.68,41863.68,39069.98,182.66,-182.81,8950.27,SL,ADVISORY,51.0,bear,0,41863.68,1.5,1
2024-01-19T16:00:00+00:00,2024-01-22T16:00:00+00:00,SHORT,41818.5,39777.73,42898.27,41818.5,39777.73,179.01,338.18,9288.44,TP,ADVISORY,51.0,bear,1,41818.5,1.5,17
2024-01-22T12:00:00+00:00,2024-01-23T08:00:00+00:00,SHORT,40774.7,39342.27,41532.6,40522.07,39342.27,185.77,350.95,9639.4,TP,ACTIVE,55.0,bear,2,40522.07,1.5,4
2024-01-23T04:00:00+00:00,2024-01-23T20:00:00+00:00,SHORT,39773.9,39773.9,40664.52,39773.9,38090.62,192.79,-0.15,9639.24,TRAIL_SL,ACTIVE,50.0,bear,1,39773.9,1.5,3
2024-01-23T16:00:00+00:00,2024-01-24T00:00:00+00:00,SHORT,39140.1,40136.03,40136.03,40136.03,37257.79,192.78,-192.94,9446.3,SL,ADVISORY,50.0,bear,0,40136.03,1.5,1
2024-01-23T20:00:00+00:00,2024-01-26T08:00:00+00:00,SHORT,39890.0,40907.65,40907.65,40907.65,37966.64,188.93,-189.08,9257.23,SL,ADVISORY,50.0,bear,0,40907.65,1.5,14
2024-01-26T04:00:00+00:00,2024-01-26T12:00:00+00:00,SHORT,39956.0,40784.94,40784.94,40784.94,38389.31,185.14,-185.29,9071.93,SL,ACTIVE,49.0,bear,0,40784.94,1.5,1
2024-01-26T20:00:00+00:00,2024-01-28T04:00:00+00:00,SHORT,41806.4,42736.88,42736.88,42736.88,40634.0,181.44,-181.58,8890.35,SL,ACTIVE,49.0,neutral,0,42736.88,1.0,7
