entry_time,exit_time,side,entry_price,exit_price,sl,tp,risk_usd,pnl_usd,equity,exit_type,gate,fgi,regime
2026-01-01T00:00:00+00:00,2026-01-02T00:00:00+00:00,SHORT,87824.6,89039.41,89039.41,86293.93,200.0,-200.16,9799.84,SL,ACTIVE,20.0,neutral
2026-01-01T20:00:00+00:00,2026-01-02T16:00:00+00:00,LONG,88800.0,90142.74,87734.33,90142.74,196.0,246.8,10046.64,TP,ACTIVE,20.0,bull
2026-01-02T12:00:00+00:00,2026-01-04T00:00:00+00:00,LONG,89373.1,90887.93,88170.86,90887.93,200.93,253.01,10299.65,TP,ACTIVE,28.0,bull
2026-01-03T20:00:00+00:00,2026-01-05T00:00:00+00:00,LONG,90595.8,92076.61,89420.55,92076.61,205.99,259.39,10559.04,TP,ACTIVE,29.0,bull
2026-01-04T20:00:00+00:00,2026-01-05T04:00:00+00:00,LONG,91497.1,92847.33,90425.49,92847.33,211.18,265.92,10824.96,TP,ACTIVE,25.0,bull
2026-01-05T00:00:00+00:00,2026-01-05T16:00:00+00:00,LONG,92835.2,94346.3,91635.91,94346.3,216.5,272.62,11097.57,TP,ACTIVE,26.0,bull
2026-01-05T12:00:00+00:00,2026-01-06T16:00:00+00:00,LONG,93899.9,92606.14,92606.14,95530.04,221.95,-222.13,10875.45,SL,ACTIVE,26.0,bull
2026-01-06T12:00:00+00:00,2026-01-06T20:00:00+00:00,LONG,93608.2,92273.6,92273.6,95289.79,217.51,-217.68,10657.76,SL,ACTIVE,44.0,bull
2026-01-06T16:00:00+00:00,2026-01-08T04:00:00+00:00,LONG,92062.2,90552.94,90552.94,93963.87,213.16,-213.33,10444.44,SL,ACTIVE,44.0,bull
2026-01-08T00:00:00+00:00,2026-01-13T12:00:00+00:00,LONG,90780.1,92788.78,89185.91,92788.78,208.89,263.03,10707.47,TP,ACTIVE,28.0,bull
2026-01-13T08:00:00+00:00,2026-01-13T16:00:00+00:00,LONG,91962.1,93656.22,90617.56,93656.22,214.15,269.66,10977.13,TP,ACTIVE,26.0,bull
2026-01-13T12:00:00+00:00,2026-01-13T20:00:00+00:00,LONG,93407.9,95211.51,91976.47,95211.51,219.54,276.45,11253.57,TP,ACTIVE,26.0,bull
2026-01-13T16:00:00+00:00,2026-01-14T12:00:00+00:00,LONG,94179.5,96013.47,92723.97,96013.47,225.07,283.41,11536.98,TP,ACTIVE,26.0,bull
2026-01-14T08:00:00+00:00,2026-01-14T16:00:00+00:00,SHORT,94763.6,96341.19,96341.19,92775.83,230.74,-230.92,11306.06,SL,ADVISORY,48.0,neutral
2026-01-14T12:00:00+00:00,2026-01-16T12:00:00+00:00,LONG,96691.9,94963.74,94963.74,98869.38,226.12,-226.3,11079.76,SL,ACTIVE,48.0,bull
2026-01-16T08:00:00+00:00,2026-01-18T20:00:00+00:00,LONG,95382.6,93752.25,93752.25,97436.85,221.6,-221.77,10857.99,SL,ACTIVE,49.0,bull
2026-01-18T16:00:00+00:00,2026-01-19T00:00:00+00:00,LONG,95335.6,94304.17,94304.17,96635.21,217.16,-217.33,10640.65,SL,ACTIVE,49.0,bull
2026-01-18T20:00:00+00:00,2026-01-19T04:00:00+00:00,LONG,93614.0,92448.41,92448.41,95082.64,212.81,-212.98,10427.67,SL,ACTIVE,49.0,bull
2026-01-19T00:00:00+00:00,2026-01-20T04:00:00+00:00,LONG,92656.6,91379.9,91379.9,94265.24,208.55,-208.72,10218.95,SL,ACTIVE,44.0,bull
2026-01-20T00:00:00+00:00,2026-01-20T08:00:00+00:00,LONG,92397.0,91211.39,91211.39,93890.87,204.38,-204.54,10014.41,SL,ACTIVE,32.0,bull
2026-01-20T04:00:00+00:00,2026-01-20T16:00:00+00:00,SHORT,91136.1,89517.17,92420.97,89517.17,200.29,252.2,10266.61,TP,ACTIVE,32.0,neutral
2026-01-20T12:00:00+00:00,2026-01-20T20:00:00+00:00,SHORT,90644.2,88942.9,91994.43,88942.9,205.33,258.55,10525.16,TP,ACTIVE,32.0,neutral
2026-01-20T16:00:00+00:00,2026-01-21T16:00:00+00:00,SHORT,89694.1,87885.59,91129.42,87885.59,210.5,265.07,10790.23,TP,ACTIVE,32.0,neutral
2026-01-21T12:00:00+00:00,2026-01-25T16:00:00+00:00,SHORT,90237.1,88076.0,91952.26,88076.0,215.8,271.74,11061.97,TP,ACTIVE,24.0,neutral
2026-01-25T12:00:00+00:00,2026-01-25T20:00:00+00:00,SHORT,88406.0,86964.38,89550.14,86964.38,221.24,278.58,11340.56,TP,ACTIVE,25.0,bear
2026-01-25T16:00:00+00:00,2026-01-26T00:00:00+00:00,SHORT,86459.4,87769.32,87769.32,84808.91,226.81,-226.99,11113.56,SL,ACTIVE,25.0,bear
2026-01-25T20:00:00+00:00,2026-01-26T04:00:00+00:00,SHORT,86628.9,87946.47,87946.47,84968.76,222.27,-222.45,10891.11,SL,ACTIVE,25.0,bear
2026-01-26T00:00:00+00:00,2026-01-26T12:00:00+00:00,SHORT,87233.1,88612.86,88612.86,85494.61,217.82,-218.0,10673.12,SL,ACTIVE,20.0,bear
2026-01-26T08:00:00+00:00,2026-01-27T20:00:00+00:00,SHORT,87810.0,89173.22,89173.22,86092.34,213.46,-213.63,10459.48,SL,ACTIVE,20.0,bear
2026-01-27T16:00:00+00:00,2026-01-28T08:00:00+00:00,SHORT,88378.1,89858.93,89858.93,86512.26,209.19,-209.36,10250.13,SL,ACTIVE,29.0,bear
2026-01-28T04:00:00+00:00,2026-01-28T16:00:00+00:00,SHORT,89106.8,90513.99,90513.99,87333.74,205.0,-205.17,10044.96,SL,ACTIVE,29.0,bear
2026-01-28T12:00:00+00:00,2026-01-29T12:00:00+00:00,SHORT,89444.4,87538.92,90956.69,87538.92,200.9,252.97,10297.93,TP,ACTIVE,29.0,bear
2026-01-29T08:00:00+00:00,2026-01-29T16:00:00+00:00,SHORT,87795.2,85841.78,89345.54,85841.78,205.96,259.34,10557.28,TP,ACTIVE,26.0,bear
2026-01-29T12:00:00+00:00,2026-01-30T00:00:00+00:00,SHORT,84898.0,82571.4,86744.51,82571.4,211.15,265.87,10823.15,TP,ACTIVE,26.0,bear
2026-01-29T20:00:00+00:00,2026-01-30T04:00:00+00:00,SHORT,84604.7,82192.14,86519.43,82192.14,216.46,272.57,11095.72,TP,ADVISORY,26.0,bear
2026-01-30T00:00:00+00:00,2026-01-31T16:00:00+00:00,SHORT,82640.9,79901.55,84814.99,79901.55,221.91,279.43,11375.15,TP,ADVISORY,16.0,bear
2026-01-31T12:00:00+00:00,2026-01-31T20:00:00+00:00,SHORT,81268.6,78601.4,83385.43,78601.4,227.5,286.47,11661.63,TP,ADVISORY,20.0,bear
2026-02-14T12:00:00+00:00,2026-02-16T12:00:00+00:00,SHORT,69754.2,67318.84,71687.02,67318.84,233.23,293.69,11955.31,TP,ADVISORY,9.0,neutral
2026-02-16T08:00:00+00:00,2026-02-17T12:00:00+00:00,SHORT,68769.4,66746.95,70374.52,66746.95,239.11,301.08,12256.4,TP,ADVISORY,12.0,bear
2026-02-17T20:00:00+00:00,2026-02-23T00:00:00+00:00,SHORT,67475.9,65359.18,69155.84,65359.18,245.13,308.67,12565.06,TP,ADVISORY,10.0,neutral
2026-02-22T20:00:00+00:00,2026-02-23T04:00:00+00:00,SHORT,67613.5,66208.27,68728.76,66208.27,251.3,316.44,12881.5,TP,ACTIVE,9.0,neutral
2026-02-23T00:00:00+00:00,2026-02-23T08:00:00+00:00,SHORT,64894.0,66436.58,66436.58,63379.46,257.63,-257.84,12623.66,SL,ACTIVE,5.0,bear
2026-02-23T04:00:00+00:00,2026-02-23T16:00:00+00:00,SHORT,65915.8,64092.6,67362.79,64092.6,252.47,317.91,12941.58,TP,ACTIVE,5.0,bear
2026-02-23T12:00:00+00:00,2026-02-24T00:00:00+00:00,SHORT,65633.1,63797.04,67090.29,63797.04,258.83,325.92,13267.5,TP,ACTIVE,5.0,bear
2026-02-23T20:00:00+00:00,2026-02-24T04:00:00+00:00,SHORT,64625.8,62683.27,66167.49,62683.27,265.35,334.13,13601.63,TP,ADVISORY,5.0,bear
2026-02-24T00:00:00+00:00,2026-02-25T00:00:00+00:00,SHORT,63570.5,65181.65,65181.65,61540.44,272.03,-272.25,13329.38,SL,ADVISORY,8.0,bear
2026-02-24T20:00:00+00:00,2026-02-25T04:00:00+00:00,SHORT,64031.3,65602.36,65602.36,62051.76,266.59,-266.8,13062.58,SL,ADVISORY,8.0,bear
2026-02-25T04:00:00+00:00,2026-02-25T12:00:00+00:00,SHORT,65001.1,66692.41,66692.41,62870.04,261.25,-261.46,12801.12,SL,ADVISORY,11.0,bear
2026-02-25T20:00:00+00:00,2026-02-27T16:00:00+00:00,SHORT,67952.5,65421.1,69961.55,65421.1,256.02,322.38,13123.5,TP,ADVISORY,11.0,neutral
