Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Close Long,2026-04-14 13:43:00,151.145166,0.002010,75196.600000,1.496445,0.0000,Taker,trade
BTC,Open Long,2026-04-14 08:02:53,149.648721,0.002010,74452.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-13 22:16:49,151.254372,0.002040,74144.300000,1.819068,0.0000,Taker,trade
BTC,Open Long,2026-04-13 20:02:55,149.435304,0.002040,73252.600000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-13 17:30:18,150.841392,0.002080,72519.900000,1.489488,0.0000,Taker,trade
BTC,Open Long,2026-04-13 16:02:29,149.351904,0.002080,71803.800000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-12 01:43:23,147.011445,0.002050,71712.900000,-2.517195,0.0000,Maker,trade
BTC,Open Long,2026-04-12 00:03:12,149.528640,0.002050,72940.800000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-11 23:04:55,490.941024,0.006720,73056.700000,-3.962112,0.0000,Taker,trade
BTC,Open Long,2026-04-11 20:00:19,494.903136,0.006720,73646.300000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-11 17:06:15,34.292375,0.000470,72962.500000,0.070547,0.0000,Taker,trade
BTC,Close Long,2026-04-11 17:06:15,399.111439,0.005470,72963.700000,0.827611,0.0000,Taker,trade
BTC,Close Long,2026-04-11 17:06:15,14.593420,0.000200,72967.100000,0.030940,0.0000,Taker,trade
BTC,Close Long,2026-04-11 17:06:15,14.593440,0.000200,72967.200000,0.030960,0.0000,Taker,trade
BTC,Close Long,2026-04-11 17:06:15,4.378032,0.000060,72967.200000,0.009288,0.0000,Taker,trade
BTC,Close Long,2026-04-11 17:06:15,14.593460,0.000200,72967.300000,0.030980,0.0000,Taker,trade
BTC,Close Long,2026-04-11 17:06:15,14.593480,0.000200,72967.400000,0.031000,0.0000,Taker,trade
BTC,Open Long,2026-04-11 04:01:07,495.124320,0.006800,72812.400000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-10 13:50:30,235.962546,0.003270,72159.800000,0.235767,0.0000,Taker,trade
BTC,Close Long,2026-04-10 13:50:30,259.775640,0.003600,72159.900000,0.259920,0.0000,Taker,trade
BTC,Open Long,2026-04-10 12:00:35,495.242499,0.006870,72087.700000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-10 01:36:57,498.607110,0.006900,72261.900000,3.502440,0.0000,Taker,trade
BTC,Open Long,2026-04-10 00:01:08,495.104670,0.006900,71754.300000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-09 09:17:35,498.476700,0.006980,71415.000000,3.429972,0.0000,Taker,trade
BTC,Open Long,2026-04-09 08:00:55,495.046728,0.006980,70923.600000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-09 07:00:58,495.184347,0.006970,71045.100000,0.378471,0.0000,Taker,trade
BTC,Open Long,2026-04-09 00:01:00,494.805876,0.006970,70990.800000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-08 17:36:38,498.319066,0.006940,71803.900000,3.358960,0.0000,Taker,trade
BTC,Open Long,2026-04-08 16:01:06,494.960106,0.006940,71319.900000,-,0.0000,Taker,trade
