Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Close Short,2026-03-27 05:33:06,74.622926,0.001090,68461.400000,0.262363,0.0000,Taker,trade
BTC,Open Short,2026-03-27 04:00:33,74.885289,0.001090,68702.100000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-26 15:14:50,74.415132,0.001080,68902.900000,0.521100,0.0000,Taker,trade
BTC,Open Short,2026-03-26 13:44:15,74.936232,0.001080,69385.400000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,5.544560,0.000080,69307.000000,-0.007328,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861320,0.000200,69306.600000,-0.018240,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861300,0.000200,69306.500000,-0.018220,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861280,0.000200,69306.400000,-0.018200,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861260,0.000200,69306.300000,-0.018180,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861220,0.000200,69306.100000,-0.018140,0.0000,Taker,trade
BTC,Open Short,2026-03-26 12:00:24,74.752632,0.001080,69215.400000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-23 07:01:10,74.509380,0.001100,67735.800000,0.262790,0.0000,Taker,trade
BTC,Open Short,2026-03-23 00:00:25,74.772170,0.001100,67974.700000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-22 14:19:40,75.574510,0.001100,68704.100000,-0.536140,0.0000,Taker,trade
BTC,Open Short,2026-03-22 12:00:35,75.038370,0.001100,68216.700000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-22 09:18:28,74.802013,0.001090,68625.700000,0.254951,0.0000,Taker,trade
BTC,Open Short,2026-03-22 08:00:25,75.056964,0.001090,68859.600000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-22 00:02:27,74.366340,0.001090,68226.000000,0.564191,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,2.749636,0.000040,68740.900000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748200,0.000200,68741.000000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,3.437055,0.000050,68741.100000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748880,0.000200,68744.400000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748900,0.000200,68744.500000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748920,0.000200,68744.600000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748940,0.000200,68744.700000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-18 15:00:49,144.131015,0.002030,71000.500000,-6.295049,0.0000,Taker,trade
BTC,Open Long,2026-03-18 08:00:31,75.307314,0.001020,73830.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-18 04:09:55,75.118750,0.001010,74375.000000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 14:44:00,149.876122,0.002020,74196.100000,0.548599,0.0000,Taker,trade
BTC,Close Long,2026-03-17 14:40:51,75.705624,0.001020,74221.200000,0.302617,0.0000,Taker,trade
BTC,Close Long,2026-03-17 14:40:50,75.725106,0.001020,74240.300000,0.322099,0.0000,Taker,trade
BTC,Open Long,2026-03-17 14:16:37,75.174816,0.001020,73700.800000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 14:15:54,62.645850,0.000850,73701.000000,-,0.0000,Taker,trade
