config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
baseline,2025-11-25 16:00:00+00:00,2025-11-25 20:00:00+00:00,1.0,1.0,86835.0,87451.52850000001,0.007100000000000106,TP,74.0,bull,low,low
baseline,2025-11-25 20:00:00+00:00,2025-11-26 00:00:00+00:00,-1.0,1.0,87324.1,86704.09889000001,0.007099999999999995,TP,6.0,bull,low,low
baseline,2025-11-26 00:00:00+00:00,2025-11-26 04:00:00+00:00,-1.0,1.0,87088.5,87896.2,-0.009274473667590932,TIME_EXIT,240.0,bull,low,low
baseline,2025-11-26 04:00:00+00:00,2025-11-26 08:00:00+00:00,-1.0,1.0,87896.2,87272.13698,0.007099999999999995,TP,1.0,bull,low,low
baseline,2025-11-26 08:00:00+00:00,2025-11-26 12:00:00+00:00,-1.0,1.0,87049.2,86926.2,0.001412994030961845,TIME_EXIT,240.0,bull,low,low
baseline,2025-11-26 12:00:00+00:00,2025-11-26 16:00:00+00:00,-1.0,1.0,86926.2,86309.02398,0.007099999999999995,TP,21.0,bull,low,low
baseline,2025-11-26 16:00:00+00:00,2025-11-26 20:00:00+00:00,1.0,1.0,89923.3,88724.622411,-0.013329999999999953,SL,1.0,bull,low,low
baseline,2025-11-26 20:00:00+00:00,2025-11-27 00:00:00+00:00,-1.0,1.0,90438.1,89795.98949,0.007099999999999995,TP,3.0,bull,low,low
baseline,2025-11-27 00:00:00+00:00,2025-11-27 04:00:00+00:00,-1.0,1.0,91049.3,90402.84997000001,0.007099999999999884,TP,1.0,bull,low,low
baseline,2025-11-27 08:00:00+00:00,2025-11-27 12:00:00+00:00,-1.0,1.0,91334.9,90912.9,0.00462035870187627,TIME_EXIT,240.0,bull,low,low
baseline,2025-11-27 12:00:00+00:00,2025-11-27 16:00:00+00:00,-1.0,1.0,90912.9,91489.0,-0.0063368344866350235,TIME_EXIT,240.0,bull,low,low
baseline,2025-11-28 04:00:00+00:00,2025-11-28 08:00:00+00:00,-1.0,1.0,90870.2,91382.9,-0.005642113696239237,TIME_EXIT,240.0,bull,low,low
baseline,2025-11-28 08:00:00+00:00,2025-11-28 12:00:00+00:00,-1.0,1.0,91382.9,92299.9,-0.010034700146307474,TIME_EXIT,240.0,bull,low,low
baseline,2025-11-28 12:00:00+00:00,2025-11-28 16:00:00+00:00,-1.0,0.5,92299.9,91644.57071,0.003549999999999942,TP,1.0,bull,low,mid
baseline,2025-11-28 16:00:00+00:00,2025-11-28 20:00:00+00:00,-1.0,1.0,91106.1,90459.24669,0.007100000000000106,TP,88.0,bear,low,low
baseline,2025-11-29 12:00:00+00:00,2025-11-29 16:00:00+00:00,-1.0,1.0,91030.0,90602.9,0.004691859826430944,TIME_EXIT,240.0,bear,low,low
baseline,2025-11-29 16:00:00+00:00,2025-11-29 20:00:00+00:00,-1.0,1.0,90602.9,90765.0,-0.001789125955129478,TIME_EXIT,240.0,bear,low,low
baseline,2025-11-30 00:00:00+00:00,2025-11-30 04:00:00+00:00,-1.0,1.0,90873.0,90924.5,-0.0005667249898209104,TIME_EXIT,240.0,bear,low,low
baseline,2025-11-30 08:00:00+00:00,2025-11-30 12:00:00+00:00,-1.0,1.0,91000.9,91405.8,-0.004449406544331014,TIME_EXIT,240.0,bear,low,low
baseline,2025-11-30 12:00:00+00:00,2025-11-30 16:00:00+00:00,-1.0,1.0,91405.8,91423.2,-0.000190359911515392,TIME_EXIT,240.0,bear,low,low
baseline,2025-11-30 16:00:00+00:00,2025-11-30 20:00:00+00:00,-1.0,1.0,91423.2,90320.6,0.012060396048267696,TIME_EXIT,240.0,bull,low,low
baseline,2025-11-30 20:00:00+00:00,2025-12-01 00:00:00+00:00,-1.0,1.0,90320.6,91524.57359800002,-0.013330000000000064,SL,6.0,bull,low,low
baseline,2025-12-01 00:00:00+00:00,2025-12-01 04:00:00+00:00,1.0,1.0,86319.2,86932.06632000001,0.007100000000000106,TP,1.0,bull,low,low
baseline,2025-12-01 12:00:00+00:00,2025-12-01 16:00:00+00:00,1.0,1.0,84650.0,85251.01500000001,0.007100000000000106,TP,1.0,bull,low,low
baseline,2025-12-02 12:00:00+00:00,2025-12-02 16:00:00+00:00,1.0,0.5,90809.2,89598.713364,-0.006665000000000032,SL,1.0,bull,low,mid
baseline,2025-12-02 16:00:00+00:00,2025-12-02 20:00:00+00:00,-1.0,0.5,91849.9,91197.76570999999,0.0035499999999999976,TP,1.0,bull,low,mid
baseline,2025-12-03 16:00:00+00:00,2025-12-03 20:00:00+00:00,-1.0,1.0,92995.8,92335.52982,0.007100000000000106,TP,1.0,bull,low,low
baseline,2025-12-03 20:00:00+00:00,2025-12-04 00:00:00+00:00,-1.0,1.0,93376.7,93499.9,-0.0013193869562748706,TIME_EXIT,240.0,bull,low,low
baseline,2025-12-04 00:00:00+00:00,2025-12-04 04:00:00+00:00,-1.0,1.0,93499.9,92836.05071,0.007099999999999995,TP,25.0,bull,low,low
baseline,2025-12-04 04:00:00+00:00,2025-12-04 08:00:00+00:00,-1.0,1.0,93358.6,92894.9,0.004966869683135866,TIME_EXIT,240.0,bull,low,low
