config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
c_exec_aligned_partial_veto,2025-11-25 08:00:00+00:00,2025-11-25 12:00:00+00:00,-1.0,1.0,87311.9,87102.35144,0.0023999999999999577,TRAIL,174.0,bull,low,low
c_exec_aligned_partial_veto,2025-11-26 20:00:00+00:00,2025-11-27 00:00:00+00:00,-1.0,1.0,90438.1,90129.05048,0.0034172491461010868,TRAIL,85.0,bull,low,low
c_exec_aligned_partial_veto,2025-11-27 00:00:00+00:00,2025-11-27 04:00:00+00:00,-1.0,1.0,91049.3,90739.17944,0.0034060729736526962,TRAIL,65.0,bull,low,low
c_exec_aligned_partial_veto,2025-11-27 08:00:00+00:00,2025-11-27 12:00:00+00:00,-1.0,1.0,91334.9,90912.9,0.00462035870187627,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2025-11-27 12:00:00+00:00,2025-11-27 16:00:00+00:00,-1.0,1.0,90912.9,90694.70903999999,0.0024000000000000687,TRAIL,112.0,bull,low,low
c_exec_aligned_partial_veto,2025-11-28 16:00:00+00:00,2025-11-28 20:00:00+00:00,-1.0,1.0,91106.1,90817.62488,0.0031663644915105316,TRAIL,169.0,bear,low,low
c_exec_aligned_partial_veto,2025-11-29 16:00:00+00:00,2025-11-29 20:00:00+00:00,-1.0,1.0,90602.9,90385.45304,0.0023999999999999577,TRAIL,164.0,bear,low,low
c_exec_aligned_partial_veto,2025-11-30 00:00:00+00:00,2025-11-30 04:00:00+00:00,-1.0,1.0,90873.0,90654.9048,0.0023999999999999577,TRAIL,227.0,bear,low,low
c_exec_aligned_partial_veto,2025-11-30 08:00:00+00:00,2025-11-30 12:00:00+00:00,-1.0,1.0,91000.9,91405.8,-0.004449406544331014,TIME_EXIT,240.0,bear,low,low
c_exec_aligned_partial_veto,2025-11-30 12:00:00+00:00,2025-11-30 16:00:00+00:00,-1.0,1.0,91405.8,91186.42608,0.0023999999999999577,TRAIL,44.0,bear,low,low
c_exec_aligned_partial_veto,2025-11-30 20:00:00+00:00,2025-12-01 00:00:00+00:00,-1.0,1.0,90320.6,91524.57359800002,-0.013330000000000064,SL,6.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-01 00:00:00+00:00,2025-12-01 04:00:00+00:00,1.0,1.0,86319.2,87828.38464,0.0174837653731732,TRAIL,4.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-01 04:00:00+00:00,2025-12-01 08:00:00+00:00,1.0,1.0,86487.6,86100.1,-0.004480411064707535,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-01 08:00:00+00:00,2025-12-01 12:00:00+00:00,1.0,1.0,86100.1,86337.17992,0.002753538265344524,TRAIL,238.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-01 12:00:00+00:00,2025-12-01 16:00:00+00:00,1.0,1.0,84650.0,85190.96,0.006390549320732575,TRAIL,42.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-01 16:00:00+00:00,2025-12-01 20:00:00+00:00,1.0,1.0,84985.0,85188.964,0.0024000000000001798,TRAIL,46.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-02 16:00:00+00:00,2025-12-02 20:00:00+00:00,-1.0,0.5,91849.9,91281.37991999999,0.0030948323297031455,TRAIL,54.0,bull,low,mid
c_exec_aligned_partial_veto,2025-12-02 20:00:00+00:00,2025-12-03 00:00:00+00:00,-1.0,1.0,91249.1,91030.10216000001,0.0023999999999999577,TRAIL,81.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-03 00:00:00+00:00,2025-12-03 04:00:00+00:00,-1.0,1.0,92589.2,92018.47136,0.006164095164446826,TRAIL,71.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-03 04:00:00+00:00,2025-12-03 08:00:00+00:00,-1.0,0.5,92969.9,92746.77223999999,0.0012000000000000344,TRAIL,24.0,bull,low,mid
c_exec_aligned_partial_veto,2025-12-03 08:00:00+00:00,2025-12-03 12:00:00+00:00,-1.0,1.0,92957.7,92332.9,0.006721336694001767,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-03 12:00:00+00:00,2025-12-03 16:00:00+00:00,-1.0,1.0,92332.9,92111.30103999999,0.0024000000000000687,TRAIL,132.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-03 16:00:00+00:00,2025-12-03 20:00:00+00:00,-1.0,1.0,92995.8,92586.99664,0.004395933579796174,TRAIL,35.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-03 20:00:00+00:00,2025-12-04 00:00:00+00:00,-1.0,1.0,93376.7,93152.59591999999,0.0024000000000000687,TRAIL,95.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-04 00:00:00+00:00,2025-12-04 04:00:00+00:00,-1.0,1.0,93499.9,93226.73991999999,0.00292150130641855,TRAIL,70.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-04 12:00:00+00:00,2025-12-04 16:00:00+00:00,-1.0,1.0,92933.5,92558.6468,0.004033563784856864,TRAIL,192.0,bull,low,low
c_exec_aligned_partial_veto,2025-12-04 16:00:00+00:00,2025-12-04 20:00:00+00:00,-1.0,1.0,91941.5,91598.97320000001,0.0037254863146674033,TRAIL,213.0,bear,low,low
c_exec_aligned_partial_veto,2025-12-05 08:00:00+00:00,2025-12-05 12:00:00+00:00,-1.0,1.0,91307.9,91088.76103999998,0.0024000000000000687,TRAIL,137.0,bear,low,low
c_exec_aligned_partial_veto,2025-12-05 12:00:00+00:00,2025-12-05 16:00:00+00:00,-1.0,1.0,90414.0,90197.0064,0.0024000000000000687,TRAIL,165.0,bear,low,low
c_exec_aligned_partial_veto,2025-12-06 00:00:00+00:00,2025-12-06 04:00:00+00:00,-1.0,1.0,89636.5,89421.3724,0.0024000000000000687,TRAIL,186.0,bear,low,low
c_exec_aligned_partial_veto,2025-12-06 04:00:00+00:00,2025-12-06 08:00:00+00:00,-1.0,1.0,89549.6,89585.4,-0.00039977844680483265,TIME_EXIT,240.0,bear,low,low
c_exec_aligned_partial_veto,2025-12-06 08:00:00+00:00,2025-12-06 12:00:00+00:00,-1.0,1.0,89585.4,89370.39503999999,0.0024000000000000687,TRAIL,88.0,bear,low,low
