Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Open Long,2026-04-24 00:00:56,190.142397,0.002430,78247.900000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-24 00:00:56,25.038944,0.000320,78246.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-24 00:00:56,280.113520,0.003580,78244.000000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-22 23:25:07,254.076225,0.003250,78177.300000,-3.428891,0.0000,Taker,trade
BTC,Close Long,2026-04-22 23:25:07,234.531900,0.003000,78177.300000,-3.165131,0.0000,Taker,trade
BTC,Open Long,2026-04-22 16:00:26,450.834632,0.005690,79232.800000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-22 16:00:26,15.845560,0.000200,79227.800000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-22 16:00:26,15.845540,0.000200,79227.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-22 16:00:26,12.676416,0.000160,79227.600000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-22 13:31:41,498.947440,0.006350,78574.400000,3.694430,0.0000,Taker,trade
BTC,Open Long,2026-04-22 08:00:51,495.253010,0.006350,77992.600000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-22 02:16:47,498.885651,0.006490,76869.900000,3.768743,0.0000,Taker,trade
BTC,Open Long,2026-04-22 00:00:33,495.116908,0.006490,76289.200000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-21 17:13:12,488.557008,0.006480,75394.600000,-6.603120,0.0000,Taker,trade
BTC,Open Long,2026-04-21 12:00:55,495.160128,0.006480,76413.600000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-21 08:21:17,498.461673,0.006530,76334.100000,3.520976,0.0000,Taker,trade
BTC,Open Long,2026-04-21 00:00:27,494.940697,0.006530,75794.900000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-19 22:01:10,488.252938,0.006610,73865.800000,-7.008451,0.0000,Taker,trade
BTC,Open Long,2026-04-19 20:00:42,70.431192,0.000940,74926.800000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-19 20:00:42,249.504246,0.003330,74926.200000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-19 20:00:42,99.651447,0.001330,74925.900000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-19 20:00:42,38.211954,0.000510,74925.400000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-19 20:00:42,37.462550,0.000500,74925.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-19 13:45:59,94.874250,0.001250,75899.400000,0.236125,0.0000,Taker,trade
BTC,Close Long,2026-04-19 13:45:59,249.713961,0.003290,75900.900000,0.626416,0.0000,Taker,trade
BTC,Close Long,2026-04-19 13:45:59,151.801800,0.002000,75900.900000,0.380800,0.0000,Taker,trade
BTC,Open Long,2026-04-19 13:10:28,246.059125,0.003250,75710.500000,-,0.0000,Taker,trade
BTC,Open Long,2026-04-19 13:10:28,249.087545,0.003290,75710.500000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-14 13:43:00,151.145166,0.002010,75196.600000,1.496445,0.0000,Taker,trade
BTC,Open Long,2026-04-14 08:02:53,149.648721,0.002010,74452.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-13 22:16:49,151.254372,0.002040,74144.300000,1.819068,0.0000,Taker,trade
BTC,Open Long,2026-04-13 20:02:55,149.435304,0.002040,73252.600000,-,0.0000,Taker,trade
BTC,Close Long,2026-04-13 17:30:18,150.841392,0.002080,72519.900000,1.489488,0.0000,Taker,trade
BTC,Open Long,2026-04-13 16:02:29,149.351904,0.002080,71803.800000,-,0.0000,Taker,trade
